,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,UniquePlayer,Week,Player,CALCAVGCtch%Rec,CALCAVG1DRec,CALCAVG1DRush,CALCAVG1DPass,CALCAVGSkPass,CALCAVGAttRush,CALCAVGTDRec,CALCAVGRateRec,CALCAVGY/APass,CALCAVGCmp%Pass,CALCAVGIntPass,CALCAVGYdsRec,CALCAVGTDPass,CALCAVGCmpPass,CALCAVGY/ARush,CALCAVGYdsPass2,CALCAVGYdsRush,CALCAVGYdsPass1,CALCAVGTDRush,CALCAVGRecRec,CALCAVGSkYdsPass,CALCAVGTgtRec,CALCAVGRecY_ind,CALCAVGAttPass
0,WR,Davante Adams (15757481),Davante Adams,15757481,WR/FLEX,9000,JAX@GB 11/15/2020 01:00PM ET,15260875,29.58,Davante AdamsWR15260875,10,Davante Adams,0.7843333333333334,6.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.833333333333334,0.0,11.5,1.5,0.0
1,RB,Christian McCaffrey (15757191),Christian McCaffrey,15757191,RB/FLEX,9000,TB@CAR 11/15/2020 01:00PM ET,15260878,30.13,Christian McCaffreyRB15260878,10,Christian McCaffrey,0.85,2.6666666666666665,4.666666666666667,0.0,0.0,19.666666666666668,0.3333333333333333,0.0,0.0,0.0,0.0,49.666666666666664,0.0,0.0,3.776666666666667,0.0,75.0,0.0,1.6666666666666667,5.666666666666667,0.0,6.333333333333333,0.0,0.0
2,RB,Dalvin Cook (15757193),Dalvin Cook,15757193,RB/FLEX,8900,MIN@CHI 11/16/2020 08:15PM ET,15260877,30.59,Dalvin CookRB15260877,10,Dalvin Cook,0.7952857142857143,1.1428571428571428,6.857142857142857,0.0,0.0,20.571428571428573,0.14285714285714285,0.0,0.0,0.0,0.0,24.714285714285715,0.0,0.0,5.759999999999999,0.0,122.57142857142857,0.0,1.7142857142857142,2.2857142857142856,0.0,3.0,0.0,0.0
3,RB,Alvin Kamara (15757195),Alvin Kamara,15757195,RB/FLEX,8200,SF@NO 11/15/2020 04:25PM ET,15260880,26.82,Alvin KamaraRB15260880,10,Alvin Kamara,0.8286250000000001,3.125,3.625,0.0,0.0,12.0,0.375,0.0,0.0,0.0,0.0,70.625,0.0,0.0,5.186249999999999,0.0,58.875,0.0,0.625,7.5,0.0,9.0,0.375,0.0
4,QB,Kyler Murray (15757116),Kyler Murray,15757116,QB,8000,BUF@ARI 11/15/2020 04:05PM ET,15260888,31.44,Kyler MurrayQB15260888,10,Kyler Murray,0.0,0.0,4.25,13.75,1.25,9.5,0.0,100.94999999999999,7.725,67.325,0.875,0.0,2.0,23.75,7.4312499999999995,-7.125,67.875,266.25,1.0,0.0,-7.125,0.0,0.0,34.875
5,QB,Aaron Rodgers (15757117),Aaron Rodgers,15757117,QB,7900,JAX@GB 11/15/2020 01:00PM ET,15260875,24.83,Aaron RodgersQB15260875,10,Aaron Rodgers,0.125,0.0,0.625,14.375,1.125,1.375,0.0,116.67499999999998,8.100000000000001,67.4875,0.25,-0.75,3.0,23.625,4.6875,-11.0,7.625,281.625,0.0,0.125,-11.0,0.125,0.0,35.0
6,QB,Russell Wilson (15757118),Russell Wilson,15757118,QB,7700,SEA@LAR 11/15/2020 04:25PM ET,15260881,31.64,Russell WilsonQB15260881,10,Russell Wilson,0.0,0.0,1.875,15.25,3.0,4.625,0.0,115.78750000000001,8.649999999999999,71.4375,1.0,0.0,3.5,26.375,6.79,-19.5,33.125,317.625,0.125,0.0,-19.5,0.0,0.0,37.125
7,WR,DeAndre Hopkins (15757483),DeAndre Hopkins,15757483,WR/FLEX,7700,BUF@ARI 11/15/2020 04:05PM ET,15260888,20.3,DeAndre HopkinsWR15260888,10,DeAndre Hopkins,0.789375,4.875,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,91.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,9.5,1.5,0.0
8,RB,Derrick Henry (15757197),Derrick Henry,15757197,RB/FLEX,7700,IND@TEN 11/12/2020 08:20PM ET,15260871,20.3,Derrick HenryRB15260871,10,Derrick Henry,0.44587499999999997,0.5,5.25,0.0,0.0,22.75,0.0,0.0,0.0,0.0,0.0,10.125,0.0,0.0,4.69125,0.0,105.375,0.0,1.0,1.25,0.0,2.25,0.0,0.0
9,WR,DK Metcalf (15757487),DK Metcalf,15757487,WR/FLEX,7600,SEA@LAR 11/15/2020 04:25PM ET,15260881,22.6,DK MetcalfWR15260881,10,D.K. Metcalf,0.6071249999999999,4.125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,98.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.375,0.0,8.5,1.5,0.0
10,WR,A.J. Brown (15757485),A.J. Brown,15757485,WR/FLEX,7600,IND@TEN 11/12/2020 08:20PM ET,15260871,19.78,A.J. BrownWR15260871,10,A.J. Brown,0.6469999999999999,3.8333333333333335,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,76.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.166666666666667,0.0,8.0,1.0,0.0
11,QB,Josh Allen (15757119),Josh Allen,15757119,QB,7500,BUF@ARI 11/15/2020 04:05PM ET,15260861,26.62,Josh AllenQB15260861,10,Josh Allen,0.0,0.0,2.7777777777777777,13.666666666666666,2.2222222222222223,7.222222222222222,0.0,104.55555555555556,8.233333333333334,67.93333333333334,0.5555555555555556,0.0,2.111111111111111,24.11111111111111,3.3433333333333337,-12.88888888888889,26.77777777777778,287.44444444444446,0.5555555555555556,0.0,-12.88888888888889,0.0,0.0,35.0
12,WR,Stefon Diggs (15757489),Stefon Diggs,15757489,WR/FLEX,7500,BUF@ARI 11/15/2020 04:05PM ET,15260861,19.37,Stefon DiggsWR15260861,10,Stefon Diggs,0.7072222222222222,3.888888888888889,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,90.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,10.11111111111111,1.3333333333333333,0.0
13,WR,Michael Thomas (15757491),Michael Thomas,15757491,WR/FLEX,7400,SF@NO 11/15/2020 04:25PM ET,15260880,7.4,Michael ThomasWR15260880,10,Michael Thomas,0.7164999999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.5,0.0,0.0
14,QB,Lamar Jackson (15757120),Lamar Jackson,15757120,QB,7100,BAL@NE 11/15/2020 08:20PM ET,15260866,21.18,Lamar JacksonQB15260866,10,Lamar Jackson,0.0,0.0,2.75,10.0,2.625,9.875,0.0,96.825,7.35,64.375,0.5,0.0,1.5,16.75,6.077500000000001,-15.25,58.625,189.125,0.375,0.0,-15.25,0.0,0.0,26.625
15,RB,Aaron Jones (15757199),Aaron Jones,15757199,RB/FLEX,7100,JAX@GB 11/15/2020 01:00PM ET,15260875,21.82,Aaron JonesRB15260875,10,Aaron Jones,0.7111666666666666,1.5,3.5,0.0,0.0,15.0,0.3333333333333333,0.0,0.0,0.0,0.0,30.333333333333332,0.0,0.0,4.6450000000000005,0.0,74.5,0.0,0.8333333333333334,3.8333333333333335,0.0,5.5,0.0,0.0
16,WR,Keenan Allen (15757493),Keenan Allen,15757493,WR/FLEX,7100,LAC@MIA 11/15/2020 04:05PM ET,15260872,19.89,Keenan AllenWR15260872,10,Keenan Allen,0.7434999999999999,4.875,0.0,0.0,0.0,0.0,0.5,4.95,0.0,0.0,0.0,81.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,0.0,10.75,1.125,0.125
17,WR,Allen Robinson II (15757495),Allen Robinson II,15757495,WR/FLEX,7000,MIN@CHI 11/16/2020 08:15PM ET,15260864,16.9,Allen Robinson IIWR15260864,10,Allen Robinson,0.6859999999999999,3.7777777777777777,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,79.11111111111111,0.0,0.0,-0.1111111111111111,0.0,-0.1111111111111111,0.0,0.0,6.333333333333333,0.0,9.555555555555555,0.6666666666666666,0.0
18,WR,Cooper Kupp (15757497),Cooper Kupp,15757497,WR/FLEX,6900,SEA@LAR 11/15/2020 04:25PM ET,15260882,15.12,Cooper KuppWR15260882,10,Cooper Kupp,0.719375,3.0,0.375,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,65.875,0.0,0.0,2.9375,0.0,4.125,0.0,0.0,6.0,0.0,8.875,0.75,0.0
19,QB,Deshaun Watson (15757121),Deshaun Watson,15757121,QB,6900,HOU@CLE 11/15/2020 01:00PM ET,15260889,24.47,Deshaun WatsonQB15260889,10,Deshaun Watson,0.0,0.0,1.625,13.75,3.0,5.0,0.0,108.325,8.8125,67.97500000000001,0.625,0.0,2.125,23.125,5.51625,-16.25,24.625,297.0,0.125,0.0,-16.25,0.0,0.0,33.875
20,RB,James Conner (15757201),James Conner,15757201,RB/FLEX,6900,CIN@PIT 11/15/2020 04:25PM ET,15260860,15.41,James ConnerRB15260860,10,James Conner,0.8624999999999999,0.75,3.625,0.0,0.0,14.875,0.0,0.0,0.0,0.0,0.0,15.375,0.0,0.0,3.9799999999999995,0.0,65.0,0.0,0.625,2.5,0.0,3.125,0.0,0.0
21,WR,Terry McLaurin (15757499),Terry McLaurin,15757499,WR/FLEX,6800,WAS@DET 11/15/2020 01:00PM ET,15260891,18.31,Terry McLaurinWR15260891,10,Terry McLaurin,0.643875,4.0,0.125,0.0,0.0,0.125,0.375,0.0,0.0,0.0,0.0,86.5,0.0,0.0,0.375,0.0,0.375,0.0,0.0,6.25,0.0,9.625,1.125,0.0
22,RB,Nick Chubb (15757203),Nick Chubb,15757203,RB/FLEX,6800,HOU@CLE 11/15/2020 01:00PM ET,15260885,16.8,Nick ChubbRB15260885,10,Nick Chubb,0.75,0.25,4.0,0.0,0.0,14.25,0.0,0.0,0.0,0.0,0.0,4.25,0.0,0.0,6.1225000000000005,0.0,83.75,0.0,1.0,0.75,0.0,0.75,0.0,0.0
23,RB,Kareem Hunt (15757205),Kareem Hunt,15757205,RB/FLEX,6700,HOU@CLE 11/15/2020 01:00PM ET,15260885,15.52,Kareem HuntRB15260885,10,Kareem Hunt,0.646,1.125,3.75,0.0,0.0,14.375,0.5,0.0,0.0,0.0,0.0,14.125,0.0,0.0,4.885,0.0,66.125,0.0,0.375,2.25,0.0,3.125,0.0,0.0
24,WR,Will Fuller V (15757501),Will Fuller V,15757501,WR/FLEX,6700,HOU@CLE 11/15/2020 01:00PM ET,15260889,17.88,Will Fuller VWR15260889,10,Will Fuller,0.62525,3.25,0.0,0.0,0.0,0.125,0.75,0.0,0.0,0.0,0.0,73.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,6.5,1.125,0.0
25,TE,George Kittle (15757879),George Kittle,15757879,TE/FLEX,6600,SF@NO 11/15/2020 04:25PM ET,15260863,17.35,George KittleTE15260863,10,George Kittle,0.7023333333333334,4.166666666666667,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,79.0,0.0,0.0,2.8333333333333335,0.0,2.8333333333333335,0.0,0.0,6.166666666666667,0.0,8.166666666666666,1.0,0.0
26,RB,James Robinson (15757207),James Robinson,15757207,RB/FLEX,6600,JAX@GB 11/15/2020 01:00PM ET,15260884,19.56,James RobinsonRB15260884,10,James Robinson,0.766375,1.25,3.875,0.0,0.125,16.5,0.25,0.0,0.0,0.0,0.0,28.125,0.0,0.0,4.29125,-0.5,72.5,0.0,0.625,3.375,-0.5,4.25,0.0,0.0
27,WR,Robert Woods (15757503),Robert Woods,15757503,WR/FLEX,6600,SEA@LAR 11/15/2020 04:25PM ET,15260882,16.18,Robert WoodsWR15260882,10,Robert Woods,0.689375,2.5,0.875,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,54.5,0.0,0.0,6.01,0.0,13.5,0.0,0.25,4.625,0.0,6.75,0.375,0.0
28,RB,Jonathan Taylor (15757209),Jonathan Taylor,15757209,RB/FLEX,6600,IND@TEN 11/12/2020 08:20PM ET,15260867,13.18,Jonathan TaylorRB15260867,10,Jonathan Taylor,0.958375,0.875,3.25,0.0,0.0,13.25,0.0,0.0,0.0,0.0,0.0,22.25,0.0,0.0,3.88875,0.0,52.0,0.0,0.5,2.5,0.0,2.625,0.0,0.0
29,RB,Josh Jacobs (15757211),Josh Jacobs,15757211,RB/FLEX,6500,DEN@LV 11/15/2020 04:05PM ET,15260876,16.04,Josh JacobsRB15260876,10,Josh Jacobs,0.698,0.25,4.625,0.0,0.0,20.125,0.0,0.0,0.0,0.0,0.0,15.625,0.0,0.0,3.5587500000000003,0.0,73.5,0.0,0.75,2.375,0.0,3.25,0.0,0.0
30,QB,Jared Goff (15757123),Jared Goff,15757123,QB,6500,SEA@LAR 11/15/2020 04:25PM ET,15260882,19.6,Jared GoffQB15260882,10,Jared Goff,0.0,0.0,0.75,12.875,1.25,3.0,0.0,99.23750000000001,7.887500000000001,66.9625,0.75,0.0,1.625,23.25,2.1075,-9.5,5.0,268.125,0.25,0.0,-9.5,0.0,0.0,35.5
31,WR,Tyler Lockett (15757505),Tyler Lockett,15757505,WR/FLEX,6500,SEA@LAR 11/15/2020 04:25PM ET,15260881,20.31,Tyler LockettWR15260881,10,Tyler Lockett,0.7484999999999999,4.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,76.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.625,0.0,8.75,0.375,0.0
32,QB,Drew Brees (15757124),Drew Brees,15757124,QB,6400,SF@NO 11/15/2020 04:25PM ET,15260880,20.75,Drew BreesQB15260880,10,Drew Brees,0.0,0.0,0.5,13.875,1.25,1.75,0.0,110.35,7.4875,74.08749999999999,0.375,0.0,2.125,26.375,0.125,-8.75,0.25,265.0,0.25,0.0,-8.75,0.0,0.0,35.625
33,WR,Tyler Boyd (15757507),Tyler Boyd,15757507,WR/FLEX,6400,CIN@PIT 11/15/2020 04:25PM ET,15260869,17.60,Tyler BoydWR15260869,10,Tyler Boyd,0.78925,4.5,0.125,0.125,0.0,0.5,0.375,14.85,2.0,12.5,0.0,73.0,0.0,0.125,4.1875,0.0,4.75,2.0,0.0,6.75,0.0,8.5,0.75,0.125
34,RB,Chase Edmonds (15757215),Chase Edmonds,15757215,RB/FLEX,6300,BUF@ARI 11/15/2020 04:05PM ET,15260888,11.95,Chase EdmondsRB15260888,10,Chase Edmonds,0.8145,1.75,1.5,0.0,0.0,6.75,0.25,0.0,0.0,0.0,0.0,30.0,0.0,0.0,5.62375,0.0,30.75,0.0,0.125,3.625,0.0,4.375,0.0,0.0
35,QB,Ryan Tannehill (15757125),Ryan Tannehill,15757125,QB,6300,IND@TEN 11/12/2020 08:20PM ET,15260871,22.09,Ryan TannehillQB15260871,10,Ryan Tannehill,0.125,0.0,1.25,13.0,1.375,2.75,0.0,109.61249999999998,7.874999999999999,65.05,0.375,0.0,2.375,20.875,4.24,-10.625,13.125,247.625,0.125,0.125,-10.625,0.125,0.0,31.75
36,QB,Tom Brady (15757126),Tom Brady,15757126,QB,6300,TB@CAR 11/15/2020 01:00PM ET,15260886,20.72,Tom BradyQB15260886,10,Tom Brady,0.0,0.0,0.4444444444444444,13.666666666666666,1.4444444444444444,1.8888888888888888,0.0,95.17777777777778,6.844444444444445,65.08888888888889,0.7777777777777778,0.0,2.2222222222222223,25.11111111111111,0.2222222222222222,-9.555555555555555,0.6666666666666666,266.44444444444446,0.2222222222222222,0.0,-9.555555555555555,0.0,0.0,38.44444444444444
37,WR,Mike Evans (15757511),Mike Evans,15757511,WR/FLEX,6300,TB@CAR 11/15/2020 01:00PM ET,15260886,13.97,Mike EvansWR15260886,10,Mike Evans,0.6402222222222222,2.888888888888889,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,48.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7777777777777777,0.0,5.777777777777778,0.6666666666666666,0.0
38,WR,DJ Chark Jr. (15757513),DJ Chark Jr.,15757513,WR/FLEX,6200,JAX@GB 11/15/2020 01:00PM ET,15260884,14.81,DJ Chark Jr.WR15260884,10,DJ Chark,0.6950000000000001,3.142857142857143,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,62.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.714285714285714,0.0,7.571428571428571,0.42857142857142855,0.0
39,RB,Chris Carson (15757217),Chris Carson,15757217,RB/FLEX,6200,SEA@LAR 11/15/2020 04:25PM ET,15260881,17.5,Chris CarsonRB15260881,10,Chris Carson,0.8511666666666667,1.5,3.3333333333333335,0.0,0.0,11.0,0.5,0.0,0.0,0.0,0.0,24.5,0.0,0.0,5.1016666666666675,0.0,53.833333333333336,0.0,0.5,3.6666666666666665,0.0,4.166666666666667,0.0,0.0
40,QB,Ben Roethlisberger (15757127),Ben Roethlisberger,15757127,QB,6200,CIN@PIT 11/15/2020 04:25PM ET,15260860,19.34,Ben RoethlisbergerQB15260860,10,Ben Roethlisberger,0.0,0.0,0.375,12.625,1.25,2.25,0.0,103.32499999999999,6.7875,67.8875,0.5,0.0,2.25,24.5,1.175,-10.875,1.75,241.75,0.0,0.0,-10.875,0.0,0.0,36.0
41,QB,Kirk Cousins (15757129),Kirk Cousins,15757129,QB,6100,MIN@CHI 11/16/2020 08:15PM ET,15260877,17.21,Kirk CousinsQB15260877,10,Kirk Cousins,0.0,0.0,0.75,10.75,2.0,1.375,0.0,102.625,9.2625,66.225,1.25,0.0,1.875,17.125,2.34375,-10.25,6.875,231.875,0.0,0.0,-10.25,0.0,0.0,26.125
42,QB,Teddy Bridgewater (15757128),Teddy Bridgewater,15757128,QB,6100,TB@CAR 11/15/2020 01:00PM ET,15260878,19.40,Teddy BridgewaterQB15260878,10,Teddy Bridgewater,0.0,0.0,1.0,13.444444444444445,2.0,3.5555555555555554,0.0,97.77777777777777,7.966666666666667,71.46666666666667,0.6666666666666666,0.0,1.2222222222222223,24.444444444444443,5.036666666666666,-12.555555555555555,20.0,268.44444444444446,0.2222222222222222,0.0,-12.555555555555555,0.0,0.0,34.0
43,WR,Robby Anderson (15757517),Robby Anderson,15757517,WR/FLEX,6100,TB@CAR 11/15/2020 01:00PM ET,15260878,16.82,Robby AndersonWR15260878,10,Robby Anderson,0.7678888888888888,3.7777777777777777,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,83.44444444444444,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,6.666666666666667,0.0,8.88888888888889,1.0,0.0
44,RB,Joe Mixon (15757219),Joe Mixon,15757219,RB/FLEX,6100,CIN@PIT 11/15/2020 04:25PM ET,15260869,17.27,Joe MixonRB15260869,10,Joe Mixon,0.7639999999999999,0.8333333333333334,3.3333333333333335,0.0,0.0,19.833333333333332,0.16666666666666666,0.0,0.0,0.0,0.0,23.0,0.0,0.0,3.481666666666667,0.0,71.33333333333333,0.0,0.5,3.5,0.0,4.333333333333333,0.0,0.0
45,WR,JuJu Smith-Schuster (15757515),JuJu Smith-Schuster,15757515,WR/FLEX,6100,CIN@PIT 11/15/2020 04:25PM ET,15260860,14.36,JuJu Smith-SchusterWR15260860,10,JuJu Smith-Schuster,0.79375,3.125,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,54.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,0.0,7.125,0.0,0.0
46,WR,Adam Thielen (15757519),Adam Thielen,15757519,WR/FLEX,6000,MIN@CHI 11/16/2020 08:15PM ET,15260877,17.06,Adam ThielenWR15260877,10,Adam Thielen,0.6208750000000001,3.125,0.0,0.0,0.0,0.375,0.875,0.0,0.0,0.0,0.0,60.0,0.0,0.0,1.875,0.0,1.875,0.0,0.0,4.625,0.0,7.25,0.75,0.0
47,QB,Baker Mayfield (15757130),Baker Mayfield,15757130,QB,6000,HOU@CLE 11/15/2020 01:00PM ET,15260885,15.01,Baker MayfieldQB15260885,10,Baker Mayfield,0.0,0.0,0.625,10.5,1.375,2.375,0.0,89.8125,6.925000000000001,61.91250000000001,0.875,0.0,1.875,17.125,2.9375,-7.5,8.125,189.25,0.0,0.0,-7.5,0.0,0.0,27.875
48,RB,Boston Scott (15757221),Boston Scott,15757221,RB/FLEX,6000,PHI@NYG 11/15/2020 01:00PM ET,15260862,5.82,Boston ScottRB15260862,10,Boston Scott,0.5125,0.5,1.125,0.0,0.0,6.0,0.125,0.0,0.0,0.0,0.0,12.875,0.0,0.0,3.0387500000000003,0.0,22.875,0.0,0.0,1.5,0.0,2.125,0.0,0.0
49,WR,Chris Godwin (15757521),Chris Godwin,15757521,WR/FLEX,6000,TB@CAR 11/15/2020 01:00PM ET,15260886,14.4,Chris GodwinWR15260886,10,Chris Godwin,0.7807999999999999,3.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,7.0,0.0,0.0
50,TE,Darren Waller (15757881),Darren Waller,15757881,TE/FLEX,5900,DEN@LV 11/15/2020 04:05PM ET,15260876,14.42,Darren WallerTE15260876,10,Darren Waller,0.6915,3.375,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,49.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,8.875,0.375,0.0
