UniquePlayer,MaddenPlayer,PerfMatch,PerfName,DKPointsName,Status
Christian McCaffreyRB15260878,Christian McCaffreyRB15260878,Christian McCaffreyRB15260878,Christian McCaffrey,"McCaffrey, Christian",
Michael ThomasWR15260880,Michael ThomasWR15260880,Michael ThomasWR15260880,Michael Thomas,"Thomas, Michael",
Saquon BarkleyRB15260879,Saquon BarkleyRB15260879,Saquon BarkleyRB15260879,Saquon Barkley,"Barkley, Saquon",
Lamar JacksonQB15260866,Lamar JacksonQB15260866,Lamar JacksonQB15260866,Lamar Jackson,"Jackson, Lamar",
Ezekiel ElliottRB15260870,Ezekiel ElliottRB15260870,Ezekiel ElliottRB15260870,Ezekiel Elliott,"Elliott, Ezekiel",
Tyreek HillWR15260868,Tyreek HillWR15260868,Tyreek HillWR15260868,Tyreek Hill,"Hill, Tyreek",
Dalvin CookRB15260877,Dalvin CookRB15260877,Dalvin CookRB15260877,Dalvin Cook,"Cook, Dalvin",
Derrick HenryRB15260871,Derrick HenryRB15260871,Derrick HenryRB15260871,Derrick Henry,"Henry, Derrick",
Julio JonesWR15260883,Julio JonesWR15260883,Julio JonesWR15260883,Julio Jones,"Jones, Julio",
Patrick MahomesQB15260868,Patrick MahomesQB15260868,Patrick MahomesQB15260868,Patrick Mahomes,"Mahomes II, Patrick",
Davante AdamsWR15260875,Davante AdamsWR15260875,Davante AdamsWR15260875,Davante Adams,"Adams, Davante",
Alvin KamaraRB15260880,Alvin KamaraRB15260880,Alvin KamaraRB15260880,Alvin Kamara,"Kamara, Alvin",
George KittleTE15260863,George KittleTE15260863,George KittleTE15260863,George Kittle,"Kittle, George",
Chris GodwinWR15260886,Chris GodwinWR15260886,Chris GodwinWR15260886,Chris Godwin,"Godwin, Chris",
Russell WilsonQB15260881,Russell WilsonQB15260881,Russell WilsonQB15260881,Russell Wilson,"Wilson, Russell",
Clyde Edwards-HelaireRB15260868,Clyde Edwards-HelaireRB15260868,Clyde Edwards-HelaireRB15260868,Clyde Edwards-Helaire,"Edwards-Helaire, Clyde",
Travis KelceTE15260868,Travis KelceTE15260868,Travis KelceTE15260868,Travis Kelce,"Kelce, Travis",
Austin EkelerRB15260872,Austin EkelerRB15260872,Austin EkelerRB15260872,Austin Ekeler,"Ekeler, Austin",
Amari CooperWR15260870,Amari CooperWR15260870,Amari CooperWR15260870,Amari Cooper,"Cooper, Amari",
Mike EvansWR15260886,Mike EvansWR15260886,Mike EvansWR15260886,Mike Evans,"Evans, Mike",
Deshaun WatsonQB15260889,Deshaun WatsonQB15260889,Deshaun WatsonQB15260889,Deshaun Watson,"Watson, Deshaun",
Aaron JonesRB15260875,Aaron JonesRB15260875,Aaron JonesRB15260875,Aaron Jones,"Jones, Aaron",
Dak PrescottQB15260870,Dak PrescottQB15260870,Dak PrescottQB15260870,Dak Prescott,"Prescott, Dak",
Drew BreesQB15260880,Drew BreesQB15260880,Drew BreesQB15260880,Drew Brees,"Brees, Drew",
Josh JacobsRB15260876,Josh JacobsRB15260876,Josh JacobsRB15260876,Josh Jacobs,"Jacobs, Josh",
DeAndre HopkinsWR15260888,DeAndre HopkinsWR15260888,DeAndre HopkinsWR15260888,DeAndre Hopkins,"Hopkins, DeAndre",
Matt RyanQB15260883,Matt RyanQB15260883,Matt RyanQB15260883,Matt Ryan,"Ryan, Matt",
Adam ThielenWR15260877,Adam ThielenWR15260877,Adam ThielenWR15260877,Adam Thielen,"Thielen, Adam",
Joe MixonRB15260869,Joe MixonRB15260869,Joe MixonRB15260869,Joe Mixon,"Mixon, Joe",
DJ MooreWR15260878,D.J. MooreWR15260878,D.J. MooreWR15260878,D.J. Moore,"Moore, D.J.",
James ConnerRB15260860,James ConnerRB15260860,James ConnerRB15260860,James Conner,"Conner, James",
Allen Robinson IIWR15260864,Allen Robinson IIWR15260864,Allen RobinsonWR15260864,Allen Robinson,"Robinson, Allen",
Tom BradyQB15260886,Tom BradyQB15260886,Tom BradyQB15260886,Tom Brady,"Brady, Tom",
Tyler LockettWR15260881,Tyler LockettWR15260881,Tyler LockettWR15260881,Tyler Lockett,"Lockett, Tyler",
Nick ChubbRB15260885,Nick ChubbRB15260885,Nick ChubbRB15260885,Nick Chubb,"Chubb, Nick",
Josh AllenQB15260861,Josh AllenQB15260861,Josh AllenQB15260861,Josh Allen,"Allen, Josh",
Cooper KuppWR15260882,Cooper KuppWR15260882,Cooper KuppWR15260882,Cooper Kupp,"Kupp, Cooper",
Robert WoodsWR15260882,Robert WoodsWR15260882,Robert WoodsWR15260882,Robert Woods,"Woods, Robert",
Stefon DiggsWR15260861,Stefon DiggsWR15260861,Stefon DiggsWR15260861,Stefon Diggs,"Diggs, Stefon",
Keenan AllenWR15260872,Keenan AllenWR15260872,Keenan AllenWR15260872,Keenan Allen,"Allen, Keenan",
Kyler MurrayQB15260888,Kyler MurrayQB15260888,Kyler MurrayQB15260888,Kyler Murray,"Murray, Kyler",
Kenyan DrakeRB15260888,Kenyan DrakeRB15260888,Kenyan DrakeRB15260888,Kenyan Drake,"Drake, Kenyan",
Ben RoethlisbergerQB15260860,Ben RoethlisbergerQB15260860,Ben RoethlisbergerQB15260860,Ben Roethlisberger,"Roethlisberger, Ben",
JuJu Smith-SchusterWR15260860,JuJu Smith-SchusterWR15260860,JuJu Smith-SchusterWR15260860,JuJu Smith-Schuster,"Smith-Schuster, JuJu",
Carson WentzQB15260862,Carson WentzQB15260862,Carson WentzQB15260862,Carson Wentz,"Wentz, Carson",
Miles SandersRB15260862,Miles SandersRB15260862,,,,NoMatch
Aaron RodgersQB15260875,Aaron RodgersQB15260875,Aaron RodgersQB15260875,Aaron Rodgers,"Rodgers, Aaron",
DJ Chark Jr.WR15260884,D.J. Chark JrWR15260884,DJ CharkWR15260884,DJ Chark,"Chark, D.J.",
A.J. BrownWR15260871,A.J. BrownWR15260871,A.J. BrownWR15260871,A.J. Brown,"Brown, A.J.",
Matthew StaffordQB15260874,Matthew StaffordQB15260874,Matthew StaffordQB15260874,Matthew Stafford,"Stafford, Matthew",
Kenny GolladayWR15260874,Kenny GolladayWR15260874,,,,NoMatch
Chris CarsonRB15260881,Chris CarsonRB15260881,Chris CarsonRB15260881,Chris Carson,"Carson, Chris",
Will Fuller VWR15260889,Will Fuller VWR15260889,Will FullerWR15260889,Will Fuller,"Fuller, Will",
Courtland SuttonWR15260873,Courtland SuttonWR15260873,,,,NoMatch
Cam NewtonQB15260865,Cam NewtonQB15260865,Cam NewtonQB15260865,Cam Newton,"Newton, Cam",
Todd Gurley IIRB15260883,Todd Gurley IIRB15260883,Todd GurleyRB15260883,Todd Gurley,"Gurley, Todd",
Calvin RidleyWR15260883,Calvin RidleyWR15260883,Calvin RidleyWR15260883,Calvin Ridley,"Ridley, Calvin",
Tyler BoydWR15260869,Tyler BoydWR15260869,Tyler BoydWR15260869,Tyler Boyd,"Boyd, Tyler",
Daniel JonesQB15260879,Daniel JonesQB15260879,Daniel JonesQB15260879,Daniel Jones,"Jones, Daniel",
James WhiteRB15260865,James WhiteRB15260865,James WhiteRB15260865,James White,"White, James",
DeVante ParkerWR15260890,DeVante ParkerWR15260890,DeVante ParkerWR15260890,DeVante Parker,"Parker, DeVante",
Julian EdelmanWR15260865,Julian EdelmanWR15260865,Julian EdelmanWR15260865,Julian Edelman,"Edelman, Julian",
David JohnsonRB15260889,David JohnsonRB15260889,David JohnsonRB15260889,David Johnson,"Johnson, David",
Philip RiversQB15260867,Philip RiversQB15260867,Philip RiversQB15260867,Philip Rivers,"Rivers, Philip",
Mark AndrewsTE15260866,Mark AndrewsTE15260866,Mark AndrewsTE15260866,Mark Andrews,"Andrews, Mark",
David MontgomeryRB15260864,David MontgomeryRB15260864,David MontgomeryRB15260864,David Montgomery,"Montgomery, David",
Odell Beckham Jr.WR15260885,Odell Beckham JrWR15260885,Odell Beckham Jr.WR15260885,Odell Beckham Jr.,"Beckham Jr., Odell",
Jarvis LandryWR15260885,Jarvis LandryWR15260885,Jarvis LandryWR15260885,Jarvis Landry,"Landry, Jarvis",
Derek CarrQB15260876,Derek CarrQB15260876,Derek CarrQB15260876,Derek Carr,"Carr, Derek",
Teddy BridgewaterQB15260878,Teddy BridgewaterQB15260878,Teddy BridgewaterQB15260878,Teddy Bridgewater,"Bridgewater, Teddy",
Darren WallerTE15260876,Darren WallerTE15260876,Darren WallerTE15260876,Darren Waller,"Waller, Darren",
Ryan TannehillQB15260871,Ryan TannehillQB15260871,Ryan TannehillQB15260871,Ryan Tannehill,"Tannehill, Ryan",
DK MetcalfWR15260881,D.K. MetcalfWR15260881,D.K. MetcalfWR15260881,D.K. Metcalf,"Metcalf, D.K.",
Zach ErtzTE15260862,Zach ErtzTE15260862,Zach ErtzTE15260862,Zach Ertz,"Ertz, Zach",
Gardner Minshew IIQB15260884,Gardner Minshew IIQB15260884,Gardner Minshew IIQB15260884,Gardner Minshew II,"Minshew, Gardner",
T.Y. HiltonWR15260867,T.Y. HiltonWR15260867,T.Y. HiltonWR15260867,T.Y. Hilton,"Hilton, T.Y.",
Joe BurrowQB15260869,Joe BurrowQB15260869,Joe BurrowQB15260869,Joe Burrow,"Burrow, Joe",
Jimmy GaroppoloQB15260863,Jimmy GaroppoloQB15260863,Jimmy GaroppoloQB15260863,Jimmy Garoppolo,"Garoppolo, Jimmy",
Raheem MostertRB15260863,Raheem MostertRB15260863,Raheem MostertRB15260863,Raheem Mostert,"Mostert, Raheem",
Emmanuel SandersWR15260880,Emmanuel SandersWR15260880,Emmanuel SandersWR15260880,Emmanuel Sanders,"Sanders, Emmanuel",
Kirk CousinsQB15260877,Kirk CousinsQB15260877,Kirk CousinsQB15260877,Kirk Cousins,"Cousins, Kirk",
Jonathan TaylorRB15260867,Jonathan TaylorRB15260867,Jonathan TaylorRB15260867,Jonathan Taylor,"Taylor, Jonathan",
Baker MayfieldQB15260885,Baker MayfieldQB15260885,Baker MayfieldQB15260885,Baker Mayfield,"Mayfield, Baker",
A.J. GreenWR15260869,A.J. GreenWR15260869,A.J. GreenWR15260869,A.J. Green,"Green, A.J.",
Jared GoffQB15260882,Jared GoffQB15260882,Jared GoffQB15260882,Jared Goff,"Goff, Jared",
Sterling ShepardWR15260879,Sterling ShepardWR15260879,Sterling ShepardWR15260879,Sterling Shepard,"Shepard, Sterling",
Terry McLaurinWR15260891,Terry McLaurinWR15260891,Terry McLaurinWR15260891,Terry McLaurin,"McLaurin, Terry",
Le'Veon BellRB15260887,Le'Veon BellRB15260887,Le'Veon BellRB15260887,Le'Veon Bell,"Bell, Le'Veon",
John BrownWR15260861,John BrownWR15260861,John BrownWR15260861,John Brown,"Brown, John",
Tyrod TaylorQB15260872,Tyrod TaylorQB15260872,Tyrod TaylorQB15260872,Tyrod Taylor,"Taylor, Tyrod",
Cam AkersRB15260882,Cam AkersRB15260882,Cam AkersRB15260882,Cam Akers,"Akers, Cam",
Michael GallupWR15260870,Michael GallupWR15260870,Michael GallupWR15260870,Michael Gallup,"Gallup, Michael",
Drew LockQB15260873,Drew LockQB15260873,Drew LockQB15260873,Drew Lock,"Lock, Drew",
Marvin Jones Jr.WR15260874,Marvin Jones JrWR15260874,Marvin JonesWR15260874,Marvin Jones,"Jones, Marvin",
Jameis WinstonQB15260880,Jameis WinstonQB15260880,,,,NoMatch
Jared CookTE15260880,Jared CookTE15260880,Jared CookTE15260880,Jared Cook,"Cook, Jared",
Mark Ingram IIRB15260866,Mark Ingram IIRB15260866,Mark IngramRB15260866,Mark Ingram,"Ingram, Mark",
Sam DarnoldQB15260887,Sam DarnoldQB15260887,Sam DarnoldQB15260887,Sam Darnold,"Darnold, Sam",
Tyrell WilliamsWR15260876,Tyrell WilliamsWR15260876,,,,NoMatch
Justin HerbertQB15260872,Justin HerbertQB15260872,,,,NoMatch
Phillip LindsayRB15260873,Phillip LindsayRB15260873,Phillip LindsayRB15260873,Phillip Lindsay,"Lindsay, Phillip",
Melvin Gordon IIIRB15260873,Melvin Gordon IIIRB15260873,Melvin GordonRB15260873,Melvin Gordon,"Gordon, Melvin",
Mitchell TrubiskyQB15260864,Mitchell TrubiskyQB15260864,Mitchell TrubiskyQB15260864,Mitchell Trubisky,"Trubisky, Mitchell",
Nick FolesQB15260864,Nick FolesQB15260864,,,,NoMatch
Alshon JefferyWR15260862,Alshon JefferyWR15260862,,,,NoMatch
Devin SingletaryRB15260861,Devin SingletaryRB15260861,Devin SingletaryRB15260861,Devin Singletary,"Singletary, Devin",
Andy DaltonQB15260870,Andy DaltonQB15260870,,,,NoMatch
Ryan FitzpatrickQB15260890,Ryan FitzpatrickQB15260890,Ryan FitzpatrickQB15260890,Ryan Fitzpatrick,"Fitzpatrick, Ryan",
Marlon MackRB15260867,Marlon MackRB15260867,Marlon MackRB15260867,Marlon Mack,"Mack, Marlon",
Hunter HenryTE15260872,Hunter HenryTE15260872,Hunter HenryTE15260872,Hunter Henry,"Henry, Hunter",
Deebo SamuelWR15260863,Deebo SamuelWR15260863,,,,NoMatch
Tua TagovailoaQB15260890,Tua TagovailoaQB15260890,,,,NoMatch
Jarrett StidhamQB15260865,Jarrett StidhamQB15260865,,,,NoMatch
Ronald Jones IIRB15260886,Ronald Jones IIRB15260886,Ronald Jones IIRB15260886,Ronald Jones II,"Jones, Ronald",
Brandin CooksWR15260889,Brandin CooksWR15260889,Brandin CooksWR15260889,Brandin Cooks,"Cooks, Brandin",
Jamison CrowderWR15260887,Jamison CrowderWR15260887,Jamison CrowderWR15260887,Jamison Crowder,"Crowder, Jamison",
Mason RudolphQB15260860,Mason RudolphQB15260860,,,,NoMatch
Golden TateWR15260879,Golden Tate IIIWR15260879,,,,NoMatch
Evan EngramTE15260879,Evan EngramTE15260879,Evan EngramTE15260879,Evan Engram,"Engram, Evan",
Jordan HowardRB15260890,Jordan HowardRB15260890,Jordan HowardRB15260890,Jordan Howard,"Howard, Jordan",
Jacoby BrissettQB15260867,Jacoby BrissettQB15260867,,,,NoMatch
Kareem HuntRB15260885,Kareem HuntRB15260885,Kareem HuntRB15260885,Kareem Hunt,"Hunt, Kareem",
Marquise BrownWR15260866,Marquise BrownWR15260866,Marquise BrownWR15260866,Marquise Brown,"Brown, Marquise",
Austin HooperTE15260885,Austin HooperTE15260885,Austin HooperTE15260885,Austin Hooper,"Hooper, Austin",
Henry Ruggs IIIWR15260876,Henry Ruggs IIIWR15260876,Henry Ruggs IIIWR15260876,Henry Ruggs III,"Ruggs III, Henry",
Matt BreidaRB15260890,Matt BreidaRB15260890,Matt BreidaRB15260890,Matt Breida,"Breida, Matt",
Chase DanielQB15260874,Chase DanielQB15260874,,,,NoMatch
Anthony MillerWR15260864,Anthony MillerWR15260864,Anthony MillerWR15260864,Anthony Miller,"Miller, Anthony",
Matt SchaubQB15260883,Matt SchaubQB15260883,,,,NoMatch
Jalen HurtsQB15260862,Jalen HurtsQB15260862,,,,NoMatch
Dwayne Haskins Jr.QB15260891,Dwayne Haskins JrQB15260891,Dwayne HaskinsQB15260891,Dwayne Haskins,"Haskins, Dwayne",
J.K. DobbinsRB15260866,J.K. DobbinsRB15260866,J.K. DobbinsRB15260866,J.K. Dobbins,"Dobbins, J.K.",
Ryan FinleyQB15260869,Ryan FinleyQB15260869,,,,NoMatch
Christian KirkWR15260888,Christian KirkWR15260888,Christian KirkWR15260888,Christian Kirk,"Kirk, Christian",
Kendrick BourneWR15260863,Kendrick BourneWR15260863,Kendrick BourneWR15260863,Kendrick Bourne,"Bourne, Kendrick",
Tyler HigbeeTE15260882,Tyler HigbeeTE15260882,Tyler HigbeeTE15260882,Tyler Higbee,"Higbee, Tyler",
Tarik CohenRB15260864,Tarik CohenRB15260864,Tarik CohenRB15260864,Tarik Cohen,"Cohen, Tarik",
D'Andre SwiftRB15260874,D'Andre SwiftRB15260874,D'Andre SwiftRB15260874,D'Andre Swift,"Swift, D'Andre",
Rob GronkowskiTE15260886,Rob GronkowskiTE15260886,Rob GronkowskiTE15260886,Rob Gronkowski,"Gronkowski, Rob",
AJ McCarronQB15260889,A.J. McCarronQB15260889,,,,NoMatch
Alex SmithQB15260891,Alex SmithQB15260891,,,,NoMatch
DeSean JacksonWR15260862,DeSean JacksonWR15260862,DeSean JacksonWR15260862,DeSean Jackson,"Jackson, DeSean",
Allen LazardWR15260875,Allen LazardWR15260875,Allen LazardWR15260875,Allen Lazard,"Lazard, Allen",
Breshad PerrimanWR15260887,Breshad PerrimanWR15260887,Breshad PerrimanWR15260887,Breshad Perriman,"Perriman, Breshad",
Marcus MariotaQB15260876,Marcus MariotaQB15260876,,,,NoMatch
David BloughQB15260874,David BloughQB15260874,,,,NoMatch
Danny AmendolaWR15260874,Danny AmendolaWR15260874,Danny AmendolaWR15260874,Danny Amendola,"Amendola, Danny",
Matt MooreQB15260868,,,,,NoMatch
Boston ScottRB15260862,Boston ScottRB15260862,Boston ScottRB15260862,Boston Scott,"Scott, Boston",
Justin JeffersonWR15260877,Justin JeffersonWR15260877,Justin JeffersonWR15260877,Justin Jefferson,"Jefferson, Justin",
Robert Griffin IIIQB15260866,Robert Griffin IIIQB15260866,Robert Griffin IIIQB15260866,Robert Griffin III,"Griffin III, Robert",
Cole BeasleyWR15260861,Cole BeasleyWR15260861,Cole BeasleyWR15260861,Cole Beasley,"Beasley, Cole",
Tony PollardRB15260870,Tony PollardRB15260870,Tony PollardRB15260870,Tony Pollard,"Pollard, Tony",
Benny Snell Jr.RB15260860,Benny Snell JrRB15260860,Benny Snell Jr.RB15260860,Benny Snell Jr.,"Snell, Benny",
Blaine GabbertQB15260886,Blaine GabbertQB15260886,,,,NoMatch
Steven Sims Jr.WR15260891,Steven SimsWR15260891,Steven SimsWR15260891,Steven Sims,"Sims Jr., Steven",
Jalen RichardRB15260876,Jalen RichardRB15260876,Jalen RichardRB15260876,Jalen Richard,"Richard, Jalen",
Robby AndersonWR15260878,Robby AndersonWR15260878,Robby AndersonWR15260878,Robby Anderson,"Anderson, Robby",
Mike WilliamsWR15260872,Mike WilliamsWR15260872,Mike WilliamsWR15260872,Mike Williams,"Williams, Mike",
Brett HundleyQB15260888,Brett HundleyQB15260888,,,,NoMatch
Darrell Henderson Jr.RB15260882,Darrell Henderson JrRB15260882,Darrell HendersonRB15260882,Darrell Henderson,"Henderson, Darrell",
Blake JarwinTE15260870,Blake JarwinTE15260870,Blake JarwinTE15260870,Blake Jarwin,"Jarwin, Blake",
Darius SlaytonWR15260879,Darius SlaytonWR15260879,Darius SlaytonWR15260879,Darius Slayton,"Slayton, Darius",
Sony MichelRB15260865,Sony MichelRB15260865,Sony MichelRB15260865,Sony Michel,"Michel, Sony",
Latavius MurrayRB15260880,Latavius MurrayRB15260880,Latavius MurrayRB15260880,Latavius Murray,"Murray, Latavius",
Carlos HydeRB15260881,Carlos HydeRB15260881,Carlos HydeRB15260881,Carlos Hyde,"Hyde, Carlos",
Sammy WatkinsWR15260868,Sammy WatkinsWR15260868,Sammy WatkinsWR15260868,Sammy Watkins,"Watkins, Sammy",
Kyle AllenQB15260891,Kyle AllenQB15260891,,,,NoMatch
Dede WestbrookWR15260884,Dede WestbrookWR15260884,,,,NoMatch
Will GrierQB15260878,Will GrierQB15260878,,,,NoMatch
Curtis SamuelWR15260878,Curtis SamuelWR15260878,Curtis SamuelWR15260878,Curtis Samuel,"Samuel, Curtis",
Eric EbronTE15260860,Eric EbronTE15260860,Eric EbronTE15260860,Eric Ebron,"Ebron, Eric",
Adrian PetersonRB15260874,Adrian PetersonRB15260891,Adrian PetersonRB15260874,Adrian Peterson,"Peterson, Adrian",
Preston WilliamsWR15260890,Preston WilliamsWR15260890,Preston WilliamsWR15260890,Preston Williams,"Williams, Preston",
Mohamed SanuWR15260865,Mohamed Sanu SrWR15260865,,,,NoMatch
Mike GesickiTE15260890,Mike GesickiTE15260890,Mike GesickiTE15260890,Mike Gesicki,"Gesicki, Mike",
Ke'Shawn VaughnRB15260886,Ke'Shawn VaughnRB15260886,,,,NoMatch
Duke JohnsonRB15260889,Duke Johnson JrRB15260889,Duke JohnsonRB15260889,Duke Johnson,"Johnson, Duke",
Randall CobbWR15260889,Randall CobbWR15260889,Randall CobbWR15260889,Randall Cobb,"Cobb, Randall",
Tim BoyleQB15260875,Tim BoyleQB15260875,Tim BoyleQB15260875,Tim Boyle,"Boyle, Tim",
Case KeenumQB15260885,Case KeenumQB15260885,,,,NoMatch
Hunter RenfrowWR15260876,Hunter RenfrowWR15260876,Hunter RenfrowWR15260876,Hunter Renfrow,"Renfrow, Hunter",
Larry FitzgeraldWR15260888,Larry FitzgeraldWR15260888,Larry FitzgeraldWR15260888,Larry Fitzgerald,"Fitzgerald, Larry",
Brandon AiyukWR15260863,Brandon AiyukWR15260863,,,,NoMatch
Malcolm BrownRB15260882,Malcolm BrownRB15260882,Malcolm BrownRB15260882,Malcolm Brown,"Brown, Malcolm",
Devlin HodgesQB15260860,Devlin HodgesQB15260860,,,,NoMatch
N'Keal HarryWR15260865,N'Keal HarryWR15260865,N'Keal HarryWR15260865,N'Keal Harry,"Harry, N'Keal",
Kerryon JohnsonRB15260874,Kerryon JohnsonRB15260874,Kerryon JohnsonRB15260874,Kerryon Johnson,"Johnson, Kerryon",
Taysom HillQB15260880,Taysom HillQB15260880,Taysom HillQB15260880,Taysom Hill,"Hill, Taysom",
Kenny StillsWR15260889,Kenny StillsWR15260889,,,,NoMatch
AJ DillonRB15260875,A.J. DillonRB15260875,AJ DillonRB15260875,AJ Dillon,"Dillon, AJ",
Mike GlennonQB15260884,Mike GlennonQB15260884,,,,NoMatch
Michael Pittman Jr.WR15260867,Michael Pittman JrWR15260867,Michael Pittman Jr.WR15260867,Michael Pittman Jr.,"Pittman Jr., Michael",
Laviska Shenault Jr.WR15260884,Laviska Shenault JrWR15260884,Laviska Shenault Jr.WR15260884,Laviska Shenault Jr.,"Shenault Jr., Laviska",
Devin DuvernayWR15260866,Devin DuvernayWR15260866,Devin DuvernayWR15260866,Devin Duvernay,"Duvernay, Devin",
Joe FlaccoQB15260887,Joe FlaccoQB15260887,,,,NoMatch
Zack MossRB15260861,Zack MossRB15260861,Zack MossRB15260861,Zack Moss,"Moss, Zack",
Reggie BonnafonRB15260878,Reggie BonnafonRB15260878,,,,NoMatch
Giovani BernardRB15260869,Giovani BernardRB15260869,Giovani BernardRB15260869,Giovani Bernard,"Bernard, Giovani",
Justin JacksonRB15260872,Justin JacksonRB15260872,Justin JacksonRB15260872,Justin Jackson,"Jackson, Justin",
Tee HigginsWR15260869,Tee HigginsWR15260869,,,,NoMatch
Chase EdmondsRB15260888,Chase EdmondsRB15260888,Chase EdmondsRB15260888,Chase Edmonds,"Edmonds, Chase",
Dion LewisRB15260879,Dion LewisRB15260879,Dion LewisRB15260879,Dion Lewis,"Lewis, Dion",
Jonnu SmithTE15260871,Jonnu SmithTE15260871,Jonnu SmithTE15260871,Jonnu Smith,"Smith, Jonnu",
Damien HarrisRB15260865,Damien HarrisRB15260865,,,,NoMatch
Ito SmithRB15260883,Ito SmithRB15260883,Ito SmithRB15260883,Ito Smith,"Smith, Ito",
Russell GageWR15260883,Russell Gage JrWR15260883,Russell GageWR15260883,Russell Gage,"Gage, Russell",
Hayden HurstTE15260883,Hayden HurstTE15260883,Hayden HurstTE15260883,Hayden Hurst,"Hurst, Hayden",
Jalen ReagorWR15260862,Jalen ReagorWR15260862,Jalen ReagorWR15260862,Jalen Reagor,"Reagor, Jalen",
Jordan LoveQB15260875,Jordan LoveQB15260875,,,,NoMatch
