UniquePlayer,MaddenPlayer,PerfMatch,PerfName,DKPointsName,Status
Rashard HigginsWR15260885,Rashard HigginsWR15260885,Rashard HigginsWR15260885,Rashard Higgins,"Higgins, Rashard",
Matt BarkleyQB15260861,Matt BarkleyQB15260861,,,,NoMatch
Denzel MimsWR15260887,Denzel MimsWR15260887,,,,NoMatch
Joshua KelleyRB15260872,Joshua KelleyRB15260872,Joshua KelleyRB15260872,Joshua Kelley,"Kelley, Joshua",
James WashingtonWR15260860,James WashingtonWR15260860,James WashingtonWR15260860,James Washington,"Washington, James",
Lynn Bowden Jr.RB15260890,Lynn Bowden JrRB15260876,,,,NoMatch
T.J. HockensonTE15260874,T.J. HockensonTE15260874,T.J. HockensonTE15260874,T.J. Hockenson,"Hockenson, T.J.",
Tommy StevensQB15260880,Tommy StevensQB15260880,,,,NoMatch
Kurt BenkertQB15260883,Kurt BenkertQB15260883,,,,NoMatch
Phillip Dorsett IIWR15260881,Phillip Dorsett IIWR15260881,,,,NoMatch
Darrel WilliamsRB15260868,Darrel WilliamsRB15260868,Darrel WilliamsRB15260868,Darrel Williams,"Williams, Darrel",
Mecole HardmanWR15260868,Mecole HardmanWR15260868,Mecole HardmanWR15260868,Mecole Hardman,"Hardman, Mecole",
Greg WardWR15260862,Greg Ward JrWR15260862,Greg WardWR15260862,Greg Ward,"Ward, Greg",
Alexander MattisonRB15260877,Alexander MattisonRB15260877,Alexander MattisonRB15260877,Alexander Mattison,"Mattison, Alexander",
Zach PascalWR15260867,Zach PascalWR15260867,Zach PascalWR15260867,Zach Pascal,"Pascal, Zach",
Bryan EdwardsWR15260876,Bryan EdwardsWR15260876,Bryan EdwardsWR15260876,Bryan Edwards,"Edwards, Bryan",
John Ross IIIWR15260869,John Ross IIIWR15260869,John RossWR15260869,John Ross,"Ross, John",
Tevin ColemanRB15260863,Tevin ColemanRB15260863,Tevin ColemanRB15260863,Tevin Coleman,"Coleman, Tevin",
Diontae JohnsonWR15260860,Diontae JohnsonWR15260860,Diontae JohnsonWR15260860,Diontae Johnson,"Johnson, Diontae",
Noah FantTE15260873,Noah FantTE15260873,Noah FantTE15260873,Noah Fant,"Fant, Noah",
LeSean McCoyRB15260886,,LeSean McCoyRB15260886,LeSean McCoy,"McCoy, LeSean",NoMatch
Danny EtlingQB15260881,Danny EtlingQB15260883,,,,NoMatch
Dallas GoedertTE15260862,Dallas GoedertTE15260862,Dallas GoedertTE15260862,Dallas Goedert,"Goedert, Dallas",
Jamaal WilliamsRB15260875,Jamaal WilliamsRB15260875,Jamaal WilliamsRB15260875,Jamaal Williams,"Williams, Jamaal",
Marquez Valdes-ScantlingWR15260875,Marquez Valdes-ScantlingWR15260875,Marquez Valdes-ScantlingWR15260875,Marquez Valdes-Scantling,"Valdes-Scantling, Marquez",
Olabisi JohnsonWR15260877,Olabisi JohnsonWR15260877,Olabisi JohnsonWR15260877,Olabisi Johnson,"Johnson, Olabisi",
Miles BoykinWR15260866,Miles BoykinWR15260866,Miles BoykinWR15260866,Miles Boykin,"Boykin, Miles",
Jake FrommQB15260861,Jake FrommQB15260861,,,,NoMatch
CeeDee LambWR15260870,CeeDee LambWR15260870,CeeDee LambWR15260870,CeeDee Lamb,"Lamb, CeeDee",
Jaylen SamuelsRB15260860,Jaylen SamuelsRB15260860,Jaylen SamuelsRB15260860,Jaylen Samuels,"Samuels, Jaylen",
Jason HuntleyRB15260862,Jason HuntleyRB15260874,Jason HuntleyRB15260862,Jason Huntley,"Huntley, Jason",
Josh RosenQB15260890,Josh RosenQB15260890,,,,NoMatch
Brian HoyerQB15260865,Brian HoyerQB15260865,,,,NoMatch
Brian LewerkeQB15260865,Brian LewerkeQB15260865,,,,NoMatch
Patrick LairdRB15260890,Patrick LairdRB15260890,Patrick LairdRB15260890,Patrick Laird,"Laird, Patrick",
Myles GaskinRB15260890,Myles GaskinRB15260890,Myles GaskinRB15260890,Myles Gaskin,"Gaskin, Myles",
Chandler CoxRB15260890,Chandler CoxRB15260890,,,,NoMatch
Malcolm PerryRB15260890,Malcolm PerryWR15260890,,,,NoMatch
Kalen BallageRB15260890,Kalen BallageRB15260890,,,,NoMatch
Rex BurkheadRB15260865,Rex BurkheadRB15260865,Rex BurkheadRB15260865,Rex Burkhead,"Burkhead, Rex",
Lamar MillerRB15260865,,,,,NoMatch
J.J. TaylorRB15260865,J.J. TaylorRB15260865,J.J. TaylorRB15260865,J.J. Taylor,"Taylor, J.J.",
Jakob JohnsonRB15260865,Jakob JohnsonRB15260865,,,,NoMatch
Salvon AhmedRB15260890,,,,,NoMatch
Tyler BrayQB15260864,Tyler BrayQB15260864,,,,NoMatch
Ryan NallRB15260864,Ryan NallRB15260864,,,,NoMatch
Artavis PierceRB15260864,,,,,NoMatch
Bo ScarbroughRB15260874,Bo ScarbroughRB15260874,,,,NoMatch
Ty JohnsonRB15260874,Ty JohnsonRB15260874,,,,NoMatch
Jonathan WilliamsRB15260874,,,,,NoMatch
Wes HillsRB15260874,,,,,NoMatch
Napoleon MaxwellRB15260864,,,,,NoMatch
Ryan GriffinQB15260886,Ryan GriffinQB15260886,,,,NoMatch
Reid SinnettQB15260886,,,,,NoMatch
Ty MontgomeryRB15260880,Ty Montgomery IIRB15260880,Ty MontgomeryWR15260880,Ty Montgomery,"Montgomery, Ty",
Tony Jones Jr.RB15260880,,,,,NoMatch
Michael BurtonRB15260880,Michael BurtonRB15260880,,,,NoMatch
Dare OgunbowaleRB15260886,Dare OgunbowaleRB15260886,,,,NoMatch
Raymond CalaisRB15260886,Raymond CalaisRB15260886,,,,NoMatch
Tre'Quan SmithWR15260880,Tre'Quan SmithWR15260880,Tre'Quan SmithWR15260880,Tre'Quan Smith,"Smith, Tre'Quan",
Scotty MillerWR15260886,Scotty MillerWR15260886,Scott MillerWR15260886,Scott Miller,"Miller, Scott",
Geno SmithQB15260881,Geno SmithQB15260881,,,,NoMatch
Anthony GordonQB15260881,Anthony GordonQB15260881,,,,NoMatch
Brian HillRB15260883,Brian HillRB15260883,Brian HillRB15260883,Brian Hill,"Hill, Brian",
Qadree OllisonRB15260883,Qadree OllisonRB15260883,,,,NoMatch
Craig ReynoldsRB15260883,Craig ReynoldsRB15260883,,,,NoMatch
Keith SmithRB15260883,Keith SmithRB15260883,,,,NoMatch
Mikey DanielRB15260883,,,,,NoMatch
Rashaad PennyRB15260881,Rashaad PennyRB15260881,,,,NoMatch
Travis HomerRB15260881,Travis HomerRB15260881,Travis HomerRB15260881,Travis Homer,"Homer, Travis",
DeeJay DallasRB15260881,DeeJay DallasRB15260881,,,,NoMatch
Nick BelloreRB15260881,Nick BelloreRB15260881,,,,NoMatch
Greg OlsenTE15260881,Greg OlsenTE15260881,Greg OlsenTE15260881,Greg Olsen,"Olsen, Greg",
Chad HenneQB15260868,Chad HenneQB15260868,,,,NoMatch
Jordan Ta'amuQB15260868,Jordan Ta'AmuQB15260868,,,,NoMatch
Buddy HowellRB15260889,Buddy HowellRB15260889,,,,NoMatch
Karan Higdon Jr.RB15260889,Karan HigdonRB15260889,,,,NoMatch
Scottie PhillipsRB15260889,,,,,NoMatch
DeAndre WashingtonRB15260868,DeAndre WashingtonRB15260868,,,,NoMatch
Elijah McGuireRB15260868,Elijah McGuireRB15260868,,,,NoMatch
Cullen GillaspiaRB15260889,Cullen GillaspiaRB15260889,,,,NoMatch
Anthony ShermanRB15260868,Anthony ShermanRB15260868,Anthony ShermanRB15260868,Anthony Sherman,"Sherman, Anthony",
Darwin ThompsonRB15260868,Darwin ThompsonRB15260868,,,,NoMatch
Nate SudfeldQB15260862,Nate SudfeldQB15260862,,,,NoMatch
Steven MontezQB15260891,,,,,NoMatch
Corey ClementRB15260862,Corey ClementRB15260862,Corey ClementRB15260862,Corey Clement,"Clement, Corey",
Elijah HolyfieldRB15260862,Elijah HolyfieldRB15260862,,,,NoMatch
Michael Warren IIRB15260862,,,,,NoMatch
Adrian Killins Jr.RB15260862,,,,,NoMatch
Antonio GibsonRB15260891,Antonio GibsonRB15260891,Antonio GibsonRB15260891,Antonio Gibson,"Gibson, Antonio",
J.D. McKissicRB15260891,J.D. McKissicRB15260891,J.D. McKissicWR15260891,J.D. McKissic,"McKissic, J.D.",
Bryce LoveRB15260891,Bryce LoveRB15260891,,,,NoMatch
Peyton BarberRB15260891,Peyton BarberRB15260891,Peyton BarberRB15260891,Peyton Barber,"Barber, Peyton",
Antonio Gandy-GoldenWR15260891,Antonio Gandy-GoldenWR15260891,,,,NoMatch
Sean MannionQB15260877,Sean MannionQB15260877,,,,NoMatch
Jake BrowningQB15260877,Jake BrowningQB15260877,,,,NoMatch
Nate StanleyQB15260877,Nate StanleyQB15260877,,,,NoMatch
Tyler ErvinRB15260875,Tyler ErvinRB15260875,Tyler ErvinRB15260875,Tyler Ervin,"Ervin, Tyler",
Dexter WilliamsRB15260875,Dexter WilliamsRB15260875,,,,NoMatch
John LovettRB15260875,,,,,NoMatch
Damarea CrockettRB15260875,,,,,NoMatch
Patrick TaylorRB15260875,,,,,NoMatch
Mike BooneRB15260877,Mike BooneRB15260877,,,,NoMatch
Ameer AbdullahRB15260877,Ameer AbdullahRB15260877,,,,NoMatch
Tony Brooks-JamesRB15260877,Tony Brooks-JamesRB15260877,,,,NoMatch
C.J. HamRB15260877,C.J. HamRB15260877,,,,NoMatch
Jacob EasonQB15260867,Jacob EasonQB15260867,,,,NoMatch
Chad KellyQB15260867,Chad KellyQB15260867,,,,NoMatch
Jake LutonQB15260884,Jake LutonQB15260884,,,,NoMatch
Josh DobbsQB15260884,Joshua DobbsQB15260884,,,,NoMatch
Nyheim HinesRB15260867,Nyheim HinesRB15260867,Nyheim HinesRB15260867,Nyheim Hines,"Hines, Nyheim",
Jordan WilkinsRB15260867,Jordan WilkinsRB15260867,,,,NoMatch
Ryquell ArmsteadRB15260884,Ryquell ArmsteadRB15260884,,,,NoMatch
Chris ThompsonRB15260884,Chris ThompsonRB15260884,Chris ThompsonRB15260884,Chris Thompson,"Thompson, Chris",
Devine OzigboRB15260884,Devine OzigboRB15260884,,,,NoMatch
James RobinsonRB15260884,,James RobinsonRB15260884,James Robinson,"Robinson, James",NoMatch
Nathan CottrellRB15260884,,,,,NoMatch
Bruce MillerRB15260884,,Bruce MillerRB15260884,Bruce Miller,"Miller, Bruce",NoMatch
Chris ConleyWR15260884,Chris ConleyWR15260884,Chris ConleyWR15260884,Chris Conley,"Conley, Chris",
Garrett GilbertQB15260885,Garrett GilbertQB15260885,,,,NoMatch
Kevin DavidsonQB15260885,,,,,NoMatch
Trace McSorleyQB15260866,Trace McSorleyQB15260866,,,,NoMatch
Tyler HuntleyQB15260866,Tyler HuntleyQB15260866,,,,NoMatch
Dontrell HilliardRB15260885,Dontrell HilliardRB15260885,,,,NoMatch
D'Ernest JohnsonRB15260885,D'Ernest JohnsonRB15260885,D'Ernest JohnsonRB15260885,D'Ernest Johnson,"Johnson, D'Ernest",
Benny LeMayRB15260885,,,,,NoMatch
Andy JanovichRB15260885,Andy JanovichRB15260885,,,,NoMatch
Johnny StantonRB15260885,,,,,NoMatch
Gus EdwardsRB15260866,Gus EdwardsRB15260866,Gus EdwardsRB15260866,Gus Edwards,"Edwards, Gus",
Justice HillRB15260866,Justice HillRB15260866,,,,NoMatch
Kenjon BarnerRB15260866,,,,,NoMatch
Ty'Son WilliamsRB15260866,,,,,NoMatch
Patrick RicardRB15260866,Patrick RicardRB15260866,Patrick RicardRB15260866,Patrick Ricard,"Ricard, Patrick",
Willie Snead IVWR15260866,Willie Snead IVWR15260866,Willie SneadWR15260866,Willie Snead,"Snead, Willie",
Davis WebbQB15260861,Davis WebbQB15260861,,,,NoMatch
David FalesQB15260887,David FalesQB15260887,,,,NoMatch
James MorganQB15260887,James MorganQB15260887,,,,NoMatch
Mike WhiteQB15260887,,,,,NoMatch
T.J. YeldonRB15260861,T.J. YeldonRB15260861,,,,NoMatch
Taiwan JonesRB15260861,Taiwan JonesRB15260861,,,,NoMatch
Christian WadeRB15260861,Christian WadeRB15260861,,,,NoMatch
Reggie GilliamRB15260861,,,,,NoMatch
Patrick DiMarcoRB15260861,Patrick DiMarcoRB15260861,,,,NoMatch
Frank GoreRB15260887,Frank GoreRB15260887,Frank GoreRB15260887,Frank Gore,"Gore, Frank",
La'Mical PerineRB15260887,La'Mical PerineRB15260887,,,,NoMatch
Josh AdamsRB15260887,Josh AdamsRB15260887,Josh AdamsRB15260887,Josh Adams,"Adams, Josh",
Nathan PetermanQB15260876,Nathan PetermanQB15260876,,,,NoMatch
P.J. WalkerQB15260878,P.J. WalkerQB15260878,,,,NoMatch
Theo RiddickRB15260876,,,,,NoMatch
Devontae BookerRB15260876,Devontae BookerRB15260876,Devontae BookerRB15260876,Devontae Booker,"Booker, Devontae",
Rod SmithRB15260876,Rod SmithRB15260876,,,,NoMatch
Alec IngoldRB15260876,Alec IngoldRB15260876,,,,NoMatch
Mike DavisRB15260878,Mike DavisRB15260878,,,,NoMatch
Trenton CannonRB15260878,Trenton CannonRB15260887,,,,NoMatch
Alex ArmahRB15260878,Alex Armah JrRB15260878,Alex ArmahRB15260878,Alex Armah,"Armah, Alex",
Brandon AllenQB15260869,,,,,NoMatch
Jake DolegalaQB15260869,Jake DolegalaQB15260869,,,,NoMatch
Easton StickQB15260872,Easton StickQB15260872,,,,NoMatch
Trayveon WilliamsRB15260869,Trayveon WilliamsRB15260869,,,,NoMatch
Samaje PerineRB15260869,Samaje PerineRB15260869,,,,NoMatch
Jacques PatrickRB15260869,,,,,NoMatch
Derrick GoreRB15260872,,,,,NoMatch
Darius BradwellRB15260872,,,,,NoMatch
Troymaine PopeRB15260872,,,,,NoMatch
Bobby HollyRB15260872,,,,,NoMatch
Gabe NabersRB15260872,Gabe NabersRB15260872,,,,NoMatch
Chris StrevelerQB15260888,,Chris StrevelerQB15260888,Chris Streveler,"Streveler, Chris",NoMatch
Nick MullensQB15260863,Nick MullensQB15260863,,,,NoMatch
C.J. BeathardQB15260863,C.J. BeathardQB15260863,,,,NoMatch
Eno BenjaminRB15260888,Eno BenjaminRB15260888,,,,NoMatch
D.J. FosterRB15260888,D.J. FosterRB15260888,,,,NoMatch
Jonathan WardRB15260888,,,,,NoMatch
Jerick McKinnonRB15260863,Jerick McKinnonRB15260863,Jerick McKinnonRB15260863,Jerick McKinnon,"McKinnon, Jerick",
Jeff Wilson Jr.RB15260863,Jeff Wilson JrRB15260863,,,,NoMatch
JaMycal HastyRB15260863,,,,,NoMatch
Kyle JuszczykRB15260863,Kyle JuszczykRB15260863,Kyle JuszczykRB15260863,Kyle Juszczyk,"Juszczyk, Kyle",
Josh HokitRB15260863,,,,,NoMatch
Ben DiNucciQB15260870,Ben DiNucciQB15260870,,,,NoMatch
Clayton ThorsonQB15260870,Clayton ThorsonQB15260870,,,,NoMatch
John WolfordQB15260882,John WolfordQB15260882,,,,NoMatch
Bryce PerkinsQB15260882,Bryce PerkinsQB15260882,,,,NoMatch
Rico DowdleRB15260870,,,,,NoMatch
Darius AndersonRB15260870,,,,,NoMatch
Sewo OloniluaRB15260870,,,,,NoMatch
John KellyRB15260882,John KellyRB15260882,,,,NoMatch
Xavier JonesRB15260882,,,,,NoMatch
Colt McCoyQB15260879,Colt McCoyQB15260879,,,,NoMatch
Cooper RushQB15260879,Cooper RushQB15260879,,,,NoMatch
Alex TanneyQB15260879,Alex TanneyQB15260879,,,,NoMatch
Paxton LynchQB15260860,Paxton LynchQB15260860,,,,NoMatch
Wayne Gallman Jr.RB15260879,Wayne Gallman JrRB15260879,Wayne GallmanRB15260879,Wayne Gallman,"Gallman, Wayne",
Tavien FeasterRB15260879,,,,,NoMatch
Sandro PlatzgummerRB15260879,,,,,NoMatch
Anthony McFarland Jr.RB15260860,Anthony McFarlandRB15260860,,,,NoMatch
Kerrith Whyte Jr.RB15260860,Kerrith Whyte JrRB15260860,,,,NoMatch
Wendell SmallwoodRB15260860,,,,,NoMatch
Derek WattRB15260860,Derek WattRB15260860,,,,NoMatch
Elijhaa PennyRB15260879,Elijhaa PennyRB15260879,,,,NoMatch
Trey EdmundsRB15260860,Trey EdmundsRB15260860,,,,NoMatch
Jeff DriskelQB15260873,Jeff DriskelQB15260873,,,,NoMatch
Brett RypienQB15260873,Brett RypienQB15260873,,,,NoMatch
Trevor SiemianQB15260871,,,,,NoMatch
Logan WoodsideQB15260871,Logan WoodsideQB15260871,,,,NoMatch
LeVante BellamyRB15260873,,,,,NoMatch
Jeremy CoxRB15260873,,,,,NoMatch
Darrynton EvansRB15260871,Darrynton EvansRB15260871,,,,NoMatch
Senorise PerryRB15260871,Senorise PerryRB15260871,,,,NoMatch
Marcus MarshallRB15260871,,,,,NoMatch
Jeremy McNicholsRB15260871,,,,,NoMatch
David FluellenRB15260871,,,,,NoMatch
Khari BlasingameRB15260871,Khari BlasingameRB15260871,Khari BlasingameRB15260871,Khari Blasingame,"Blasingame, Khari",
Royce FreemanRB15260873,Royce FreemanRB15260873,Royce FreemanRB15260873,Royce Freeman,"Freeman, Royce",
Corey DavisWR15260871,Corey DavisWR15260871,Corey DavisWR15260871,Corey Davis,"Davis, Corey",
Jerry JeudyWR15260873,Jerry JeudyWR15260873,Jerry JeudyWR15260873,Jerry Jeudy,"Jeudy, Jerry",
Jakeem GrantWR15260890,Jakeem GrantWR15260890,Jakeem GrantWR15260890,Jakeem Grant,"Grant, Jakeem",
Marvin HallWR15260874,Marvin Hall JrWR15260874,Marvin HallWR15260874,Marvin Hall,"Hall, Marvin",
JJ Arcega-WhitesideWR15260862,J.J. Arcega-WhitesideWR15260862,,,,NoMatch
Parris CampbellWR15260867,Parris CampbellWR15260867,Parris CampbellWR15260867,Parris Campbell,"Campbell, Parris",
Dawson KnoxTE15260861,Dawson KnoxTE15260861,Dawson KnoxTE15260861,Dawson Knox,"Knox, Dawson",
Joe ReedWR15260872,Joe ReedWR15260872,,,,NoMatch
Trent TaylorWR15260863,Trent TaylorWR15260863,Trent TaylorWR15260863,Trent Taylor,"Taylor, Trent",
Josh ReynoldsWR15260882,Josh ReynoldsWR15260882,Josh ReynoldsWR15260882,Josh Reynolds,"Reynolds, Josh",
Steelers DST15260860,,,,,Defense
Jimmy GrahamTE15260864,Jimmy GrahamTE15260864,Jimmy GrahamTE15260864,Jimmy Graham,"Graham, Jimmy",
Justin WatsonWR15260886,Justin WatsonWR15260886,Justin WatsonWR15260886,Justin Watson,"Watson, Justin",
Trey QuinnWR15260891,Trey QuinnWR15260891,,,,NoMatch
Tajae SharpeWR15260877,Tajae SharpeWR15260877,,,,NoMatch
Keelan ColeWR15260884,Keelan ColeWR15260884,Keelan ColeWR15260884,Keelan Cole,"Cole, Keelan",
Nelson AgholorWR15260876,Nelson AgholorWR15260876,Nelson AgholorWR15260876,Nelson Agholor,"Agholor, Nelson",
Seth RobertsWR15260878,Seth RobertsWR15260878,Seth RobertsWR15260878,Seth Roberts,"Roberts, Seth",
Auden TateWR15260869,Auden TateWR15260869,,,,NoMatch
C.J. UzomahTE15260869,C.J. UzomahTE15260869,C.J. UzomahTE15260869,C.J. Uzomah,"Uzomah, C.J.",
Ted Ginn Jr.WR15260864,Ted Ginn JrWR15260864,,,,NoMatch
O.J. HowardTE15260886,O.J. HowardTE15260886,O.J. HowardTE15260886,O.J. Howard,"Howard, O.J.",
Jake KumerowWR15260875,Jake KumerowWR15260875,,,,NoMatch
Kyle RudolphTE15260877,Kyle RudolphTE15260877,Kyle RudolphTE15260877,Kyle Rudolph,"Rudolph, Kyle",
Donovan Peoples-JonesWR15260885,Donovan Peoples-JonesWR15260885,,,,NoMatch
Vyncint SmithWR15260887,Vyncint SmithWR15260887,,,,NoMatch
Bills DST15260861,,,,,Defense
Dante PettisWR15260863,Dante PettisWR15260863,,,,NoMatch
Isaiah FordWR15260890,Isaiah FordWR15260890,Isaiah FordWR15260890,Isaiah Ford,"Ford, Isaiah",
David MooreWR15260881,David MooreWR15260881,David MooreWR15260881,David Moore,"Moore, David",
Eagles DST15260862,,,,,Defense
Jace SternbergerTE15260875,Jace SternbergerTE15260875,,,,NoMatch
Jack DoyleTE15260867,Jack DoyleTE15260867,Jack DoyleTE15260867,Jack Doyle,"Doyle, Jack",
David NjokuTE15260885,David NjokuTE15260885,David NjokuTE15260885,David Njoku,"Njoku, David",
Isaiah McKenzieWR15260861,Isaiah McKenzieWR15260861,Isaiah McKenzieWR15260861,Isaiah McKenzie,"McKenzie, Isaiah",
Alex EricksonWR15260869,Alex EricksonWR15260869,,,,NoMatch
Andy IsabellaWR15260888,Andy IsabellaWR15260888,,,,NoMatch
Tim PatrickWR15260873,Tim PatrickWR15260873,Tim PatrickWR15260873,Tim Patrick,"Patrick, Tim",
Jakobi MeyersWR15260865,Jakobi MeyersWR15260865,,,,NoMatch
Devin AsiasiTE15260865,Devin AsiasiTE15260865,,,,NoMatch
Laquon TreadwellWR15260883,Laquon TreadwellWR15260883,,,,NoMatch
Paul Richardson Jr.WR15260881,,,,,NoMatch
Jeremy SprinkleTE15260891,Jeremy SprinkleTE15260891,,,,NoMatch
Equanimeous St. BrownWR15260875,Equanimeous St. BrownWR15260875,,,,NoMatch
Chad BeebeWR15260877,Chad BeebeWR15260877,,,,NoMatch
Zay JonesWR15260876,Zay JonesWR15260876,,,,NoMatch
Dan ArnoldTE15260888,Dan ArnoldTE15260888,Dan ArnoldWR15260888,Dan Arnold,"Arnold, Dan",
49ers DST15260863,,,,,Defense
Cordarrelle PattersonWR15260864,Cordarrelle PattersonWR15260864,Cordarrelle PattersonWR15260864,Cordarrelle Patterson,"Patterson, Cordarrelle",
Cole KmetTE15260864,Cole KmetTE15260864,,,,NoMatch
Tyler JohnsonWR15260886,Tyler JohnsonWR15260886,,,,NoMatch
Will DisslyTE15260881,Will DisslyTE15260881,Will DisslyTE15260881,Will Dissly,"Dissly, Will",
Dontrelle InmanWR15260891,,Dontrelle InmanWR15260891,Dontrelle Inman,"Inman, Dontrelle",NoMatch
Chris HoganWR15260887,,Chris HoganWR15260887,Chris Hogan,"Hogan, Chris",NoMatch
Ryan GriffinTE15260887,Ryan GriffinTE15260887,,,,NoMatch
Ian ThomasTE15260878,Ian ThomasTE15260878,Ian ThomasTE15260878,Ian Thomas,"Thomas, Ian",
Jason MooreWR15260872,Jason MooreWR15260872,,,,NoMatch
Kevin WhiteWR15260863,,,,,NoMatch
Jauan JenningsWR15260863,Jauan JenningsWR15260863,,,,NoMatch
Damion RatleyWR15260879,,,,,NoMatch
Quintez CephusWR15260874,Quintez CephusWR15260874,Quintez CephusWR15260874,Quintez Cephus,"Cephus, Quintez",
Bears DST15260864,,,,,Defense
Deonte HarrisWR15260880,Deonte HarrisWR15260880,Deonte HarrisWR15260880,Deonte Harris,"Harris, Deonte",
Demarcus RobinsonWR15260868,Demarcus RobinsonWR15260868,Demarcus RobinsonWR15260868,Demarcus Robinson,"Robinson, Demarcus",
Darren FellsTE15260889,Darren FellsTE15260889,Darren FellsTE15260889,Darren Fells,"Fells, Darren",
Tyler EifertTE15260884,Tyler EifertTE15260884,Tyler EifertTE15260884,Tyler Eifert,"Eifert, Tyler",
Nick BoyleTE15260866,Nick BoyleTE15260866,Nick BoyleTE15260866,Nick Boyle,"Boyle, Nick",
Chris HerndonTE15260887,,Chris HerndonTE15260887,Chris Herndon,"Herndon, Chris",NoMatch
KeeSean JohnsonWR15260888,KeeSean JohnsonWR15260888,,,,NoMatch
Adam HumphriesWR15260871,Adam HumphriesWR15260871,Adam HumphriesWR15260871,Adam Humphries,"Humphries, Adam",
Damiere ByrdWR15260865,Damiere ByrdWR15260865,,,,NoMatch
Patriots DST15260865,,,,,Defense
Riley RidleyWR15260864,Riley RidleyWR15260864,,,,NoMatch
Jesse JamesTE15260874,Jesse JamesTE15260874,,,,NoMatch
Bennie Fowler IIIWR15260880,,,,,NoMatch
Keke CouteeWR15260889,Keke CouteeWR15260889,,,,NoMatch
Cody LatimerWR15260891,Cody LatimerWR15260891,,,,NoMatch
Marcus JohnsonWR15260867,Marcus JohnsonWR15260867,,,,NoMatch
Andre RobertsWR15260861,Andre RobertsWR15260861,,,,NoMatch
