"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Gerald Everett","LAR","TE29","0.0","0.0","0.0","2.1","23.9","0.1","0.0","2.8"
"Kerryon Johnson","DET","RB58","3.7","15.5","0.1","1.1","7.4","0.0","0.0","2.8"
"Olamide Zaccheaus","ATL","WR98","0.0","0.3","0.0","1.8","22.0","0.1","0.0","2.8"
"Jordan Reed","SF","TE30","0.0","0.0","0.0","1.7","16.0","0.2","0.0","2.8"
"Denzel Mims","NYJ","WR99","0.0","0.2","0.0","1.9","24.0","0.1","0.0","2.8"
"Phillip Dorsett II","SEA","WR100","0.1","1.1","0.0","1.1","14.0","0.2","0.0","2.7"
"Dan Arnold","ARI","TE31","0.0","0.0","0.0","1.8","21.4","0.1","0.0","2.7"
"Ian Thomas","CAR","TE32","0.0","0.0","0.0","2.2","19.4","0.1","0.0","2.7"
"Carlos Hyde","SEA","RB59","4.7","17.0","0.1","1.1","5.1","0.0","0.1","2.7"
"James O'Shaughnessy","JAC","TE33","0.0","0.0","0.0","2.1","19.8","0.1","0.0","2.6"
"Alshon Jeffery","PHI","WR101","0.0","0.0","0.0","1.8","25.0","0.0","0.0","2.6"
"Rashard Higgins","CLE","WR102","0.0","0.0","0.0","1.3","18.1","0.1","0.0","2.5"
"Cameron Brate","TB","TE34","0.0","0.0","0.0","1.6","17.0","0.1","0.0","2.5"
"Equanimeous St. Brown","GB","WR103","0.0","0.2","0.0","1.4","19.3","0.1","0.0","2.5"
"Peyton Barber","WAS","RB60","4.8","15.7","0.1","0.5","2.4","0.0","0.0","2.5"
"Levine Toilolo","NYG","TE35","0.0","0.0","0.0","1.5","19.0","0.1","0.0","2.5"
"Tyler Johnson","TB","WR104","0.0","0.2","0.0","1.6","20.1","0.1","0.0","2.5"
"Lee Smith","BUF","TE36","0.0","0.0","0.0","0.7","6.0","0.3","0.0","2.4"
"Trenton Cannon","CAR","RB61","2.8","9.6","0.1","1.2","8.8","0.0","0.0","2.4"
"Ryan Izzo","NE","TE37","0.0","0.0","0.0","1.6","18.4","0.1","0.0","2.4"
"Kaden Smith","NYG","TE38","0.0","0.0","0.0","1.9","17.4","0.1","0.0","2.4"
"Dion Lewis","NYG","RB62","2.9","9.6","0.0","1.6","11.5","0.0","0.0","2.4"
"Van Jefferson","LAR","WR105","0.1","0.4","0.0","1.4","19.3","0.1","0.0","2.3"
"Tanner Hudson","TB","TE39","0.0","0.0","0.0","1.9","20.5","0.1","0.0","2.3"
"Wayne Gallman","NYG","RB63","4.1","15.6","0.1","1.0","5.1","0.0","0.1","2.3"
"Chris Herndon IV","NYJ","TE40","0.0","0.0","0.0","1.9","19.7","0.1","0.0","2.3"
"Ryan Griffin","NYJ","TE41","0.0","0.0","0.0","1.7","16.2","0.1","0.0","2.2"
"Will Dissly","SEA","TE42","0.0","0.0","0.0","1.4","15.3","0.1","0.0","2.2"
"DaeSean Hamilton","DEN","WR106","0.0","0.0","0.0","1.8","18.6","0.1","0.0","2.2"
"Jesse James","DET","TE43","0.0","0.0","0.0","1.4","15.3","0.1","0.0","2.2"
"Ito Smith","ATL","RB64","2.6","9.8","0.1","1.0","6.4","0.0","0.0","2.2"
"Antonio Gandy-Golden","WAS","WR107","0.1","0.4","0.0","1.3","16.2","0.1","0.0","2.1"
"Tyler Kroft","BUF","TE44","0.0","0.0","0.0","1.6","15.5","0.1","0.0","2.1"
"Anthony McFarland Jr.","PIT","RB65","3.1","11.9","0.1","0.9","6.0","0.0","0.0","2.1"
"Freddie Swain","SEA","WR108","0.0","0.1","0.0","1.3","15.8","0.1","0.0","2.1"
"Harrison Bryant","CLE","TE45","0.0","0.0","0.0","1.4","14.6","0.1","0.0","2.1"
"Marcedes Lewis","GB","TE46","0.0","0.0","0.0","1.1","11.6","0.2","0.0","2.1"
"Collin Johnson","JAC","WR109","0.1","0.2","0.0","1.3","17.7","0.0","0.0","2.1"
"Ty Johnson","NYJ","RB66","3.0","13.7","0.0","1.0","4.8","0.0","0.0","2.0"
"Vance McDonald","PIT","TE47","0.0","0.0","0.0","1.7","16.5","0.1","0.0","2.0"
"JJ Arcega-Whiteside","PHI","WR110","0.1","0.3","0.0","1.3","17.9","0.0","0.0","2.0"
"Keith Kirkwood","CAR","WR111","0.0","0.1","0.0","1.3","16.6","0.1","0.0","2.0"
"Darrel Williams","KC","RB67","3.4","10.6","0.0","1.4","7.1","0.0","0.0","2.0"
"Albert Okwuegbunam","DEN","TE48","0.0","0.0","0.0","1.4","14.9","0.1","0.0","2.0"
"Jason Croom","PHI","TE49","0.0","0.0","0.0","1.5","16.2","0.1","0.1","2.0"
"Kyle Juszczyk","SF","RB68","0.8","2.9","0.0","1.5","14.1","0.0","0.0","2.0"
"Devontae Booker","LV","RB69","3.5","13.1","0.0","0.8","4.9","0.0","0.0","2.0"
"Royce Freeman","DEN","RB70","3.2","11.8","0.0","0.9","6.0","0.0","0.0","1.9"
"Isaiah McKenzie","BUF","WR112","0.5","2.4","0.0","1.3","12.4","0.0","0.0","1.9"
"Jordan Thomas","ARI","TE50","0.0","0.0","0.0","0.7","7.1","0.2","0.0","1.9"
"Mike Thomas","CIN","WR113","0.2","0.7","0.0","1.5","16.4","0.1","0.1","1.9"
"Qadree Ollison","ATL","RB71","1.7","7.5","0.2","0.2","1.5","0.0","0.0","1.9"
"Austin Mack","NYG","WR114","0.1","0.4","0.0","1.2","14.9","0.1","0.0","1.9"
"Auden Tate","CIN","WR115","0.0","0.0","0.0","1.0","13.2","0.1","0.0","1.8"
"LeSean McCoy","TB","RB72","2.3","6.4","0.0","1.2","7.5","0.0","0.0","1.8"
"Travis Homer","SEA","RB73","2.1","10.8","0.0","0.9","4.6","0.0","0.0","1.8"
"Malik Taylor","GB","WR116","0.1","0.3","0.0","1.1","13.6","0.1","0.0","1.8"
"C.J. Board","NYG","WR117","0.1","0.5","0.0","1.5","17.8","0.0","0.0","1.8"
"Zay Jones","LV","WR118","0.0","0.0","0.0","1.2","12.7","0.1","0.0","1.8"
"AJ Dillon","GB","RB74","3.0","13.2","0.0","0.5","1.9","0.0","0.0","1.8"
"J.J. Taylor","NE","RB75","2.6","10.9","0.1","0.1","0.7","0.0","0.0","1.8"
"Jaeden Graham","ATL","TE51","0.0","0.0","0.0","0.8","11.6","0.1","0.0","1.8"
"Raheem Mostert","SF","RB76","3.3","15.4","0.0","1.2","3.4","0.0","0.1","1.7"
"Dontrell Hilliard","CLE","RB77","2.8","9.8","0.1","0.6","3.4","0.0","0.0","1.7"
"Cole Kmet","CHI","TE52","0.0","0.0","0.0","1.3","13.1","0.1","0.0","1.7"
"Foster Moreau","LV","TE53","0.0","0.0","0.0","1.3","14.2","0.1","0.0","1.7"
"Marvin Hall","DET","WR119","0.1","0.8","0.0","0.7","12.4","0.1","0.0","1.7"
"Jace Sternberger","GB","TE54","0.0","0.0","0.0","1.3","14.0","0.1","0.0","1.7"
"Darrius Shepherd","GB","WR120","0.1","0.2","0.0","1.2","14.6","0.0","0.0","1.7"
"MyCole Pruitt","TEN","TE55","0.0","0.0","0.0","1.0","10.5","0.1","0.0","1.6"
"Christian Blake","ATL","WR121","0.1","0.2","0.0","1.2","13.2","0.0","0.0","1.6"
"Demetrius Harris","CHI","TE56","0.0","0.0","0.0","1.2","11.5","0.1","0.0","1.6"
"Jason Witten","LV","TE57","0.0","0.0","0.0","1.3","11.1","0.1","0.0","1.6"
"Jason Huntley","PHI","RB78","1.8","7.1","0.0","0.9","5.2","0.0","0.0","1.6"
"Maxx Williams","ARI","TE58","0.0","0.0","0.0","0.8","9.5","0.1","0.0","1.6"
"Donald Parham Jr.","LAC","TE59","0.0","0.0","0.0","0.8","9.4","0.1","0.0","1.5"
"Byron Pringle","KC","WR122","0.0","0.2","0.0","1.0","12.4","0.0","0.0","1.5"
"T.J. Yeldon","BUF","RB79","2.0","7.8","0.0","0.9","5.5","0.0","0.0","1.5"
"Deonte Harris","NO","WR123","0.8","3.7","0.0","0.6","7.1","0.0","0.0","1.5"
"Noah Brown","DAL","WR124","0.0","0.0","0.0","1.1","11.8","0.0","0.0","1.5"
"Trent Taylor","SF","WR125","0.0","0.0","0.0","1.4","13.1","0.0","0.0","1.5"
"Hakeem Butler","PHI","WR126","0.0","0.0","0.0","1.0","10.3","0.1","0.0","1.5"
"Geoff Swaim","TEN","TE60","0.0","0.0","0.0","1.3","11.7","0.0","0.0","1.4"
"Trayveon Williams","CIN","RB80","1.8","7.1","0.1","0.1","1.0","0.0","0.0","1.4"
"Ted Ginn Jr.","CHI","WR127","0.0","0.1","0.0","0.8","11.3","0.0","0.0","1.4"
"Chris Manhertz","CAR","TE61","0.0","0.0","0.0","0.9","10.2","0.1","0.0","1.4"
"Seth Roberts","CAR","WR128","0.0","0.0","0.0","1.0","11.4","0.0","0.0","1.4"
"Kahale Warring","HOU","TE62","0.0","0.0","0.0","0.7","7.8","0.1","0.0","1.4"
"Bryce Love","WAS","RB81","1.6","6.4","0.1","0.1","1.3","0.0","0.0","1.4"
"Kalen Ballage","LAC","RB82","1.5","4.8","0.1","0.4","2.8","0.0","0.0","1.4"
"Luke Stocker","ATL","TE63","0.0","0.0","0.0","0.8","7.6","0.1","0.0","1.4"
"Donovan Peoples-Jones","CLE","WR129","0.0","0.7","0.0","0.8","9.3","0.1","0.0","1.4"
"Darrell Daniels","ARI","TE64","0.0","0.0","0.0","1.1","11.4","0.0","0.0","1.4"
"Ricky Seals-Jones","KC","TE65","0.0","0.0","0.0","0.8","9.0","0.1","0.0","1.4"
"Pharaoh Brown","HOU","TE66","0.0","0.0","0.0","1.1","11.2","0.0","0.0","1.3"
"Vyncint Smith","NYJ","WR130","0.0","0.4","0.0","0.7","9.4","0.1","0.0","1.3"
"Josh Hill","NO","TE67","0.0","0.0","0.0","1.1","9.9","0.1","0.0","1.3"
"Alec Ingold","LV","RB83","0.3","1.0","0.0","0.9","7.7","0.1","0.0","1.3"
"Tyler Ervin","GB","RB84","0.6","4.7","0.0","0.8","5.7","0.0","0.0","1.3"
"Nick Vannett","DEN","TE68","0.0","0.0","0.0","1.3","11.4","0.0","0.0","1.3"
"Brycen Hopkins","LAR","TE69","0.0","0.0","0.0","0.6","6.8","0.1","0.0","1.3"
"Evan Baylis","ARI","TE70","0.0","0.0","0.0","0.7","6.8","0.1","0.0","1.3"
"Luke Willson","SEA","TE71","0.0","0.0","0.0","0.7","6.8","0.1","0.0","1.3"
"Bo Scarbrough","DET","RB85","1.9","6.7","0.1","0.0","0.1","0.0","0.0","1.3"
"Virgil Green","LAC","TE72","0.0","0.0","0.0","0.8","8.9","0.1","0.0","1.3"
"Antony Auclair","TB","TE73","0.0","0.0","0.0","0.7","6.7","0.1","0.0","1.3"
"Zach Gentry","PIT","TE74","0.0","0.0","0.0","0.8","6.7","0.1","0.0","1.3"
"Temarrick Hemingway","WAS","TE75","0.0","0.0","0.0","0.6","6.7","0.1","0.0","1.3"
"Jamal Agnew","DET","CB1","0.4","1.5","0.0","0.6","7.4","0.1","0.0","1.3"
"Ray-Ray McCloud","PIT","WR131","0.2","1.2","0.0","0.8","9.1","0.0","0.0","1.2"
"Jaylen Samuels","PIT","RB86","2.8","5.6","0.0","1.1","6.2","0.0","0.0","1.2"
"Jeremy Sprinkle","WAS","TE76","0.0","0.0","0.0","0.6","6.3","0.1","0.0","1.2"
"Bennie Fowler III","NO","WR132","0.0","0.0","0.0","0.8","10.4","0.0","0.0","1.2"
"Derek Carrier","LV","TE77","0.0","0.0","0.0","0.7","6.2","0.1","0.0","1.2"
"Jakobi Meyers","NE","WR133","0.0","0.0","0.0","0.8","11.3","0.0","0.0","1.2"
"Taysom Hill","NO","QB1","0.0","0.0","0.0","0.8","7.6","0.1","0.0","1.2"
"Devin Asiasi","NE","TE78","0.0","0.0","0.0","0.6","5.8","0.1","0.0","1.2"
"Eno Benjamin","ARI","RB87","1.7","6.8","0.1","0.4","2.2","0.0","0.0","1.2"
"Samaje Perine","CIN","RB88","2.0","7.1","0.0","0.9","2.6","0.0","0.0","1.2"
"Darwin Thompson","KC","RB89","4.1","9.0","0.0","1.6","2.5","0.0","0.1","1.2"
"Jacob Hollister","SEA","TE79","0.0","0.0","0.0","0.6","5.9","0.1","0.0","1.2"
"Adam Trautman","NO","TE80","0.0","0.0","0.0","0.9","8.5","0.1","0.0","1.1"
"Ty Montgomery","NO","RB90","1.4","6.2","0.0","0.7","5.1","0.0","0.0","1.1"
"Marquez Callaway","NO","WR134","0.0","0.2","0.0","0.8","9.4","0.0","0.0","1.1"
"DeeJay Dallas","SEA","RB91","1.1","6.7","0.0","0.4","2.5","0.0","0.0","1.1"
"KeeSean Johnson","ARI","WR135","0.0","0.0","0.0","0.8","8.1","0.1","0.0","1.1"
"K.J. Hill","LAC","WR136","0.0","0.1","0.0","0.7","8.8","0.0","0.0","1.1"
"Blake Bell","DAL","TE81","0.0","0.0","0.0","0.9","9.7","0.0","0.0","1.1"
"Justin Watson","TB","WR137","0.0","0.1","0.0","0.6","9.6","0.0","0.0","1.1"
"Miles Sanders","PHI","RB92","4.1","7.9","0.0","3.6","3.6","0.0","0.0","1.1"
"Brandon Powell","ATL","WR138","0.0","0.5","0.0","0.6","7.7","0.0","0.0","1.1"
"Quintez Cephus","DET","WR139","0.0","0.2","0.0","0.4","7.9","0.0","0.0","1.0"
"Andrew Beck","DEN","TE82","0.0","0.0","0.0","0.4","4.3","0.1","0.0","1.0"
"Rico Dowdle","DAL","RB93","0.0","4.9","0.0","0.3","2.0","0.0","0.0","1.0"
"Cam Batson","TEN","WR140","0.0","0.3","0.0","0.9","10.2","0.0","0.0","1.0"
"Josh Adams","NYJ","RB94","2.3","6.9","0.1","0.5","0.6","0.0","0.0","1.0"
"Jake Butt","DEN","TE83","0.0","0.0","0.0","0.8","8.2","0.0","0.0","1.0"
"Jakob Johnson","NE","RB95","1.9","5.6","0.0","0.5","1.6","0.1","0.0","1.0"
"Stephen Carlson","CLE","TE84","0.0","0.0","0.0","0.3","4.0","0.1","0.0","1.0"
"C.J. Prosise","HOU","RB96","2.1","4.4","0.0","0.9","4.1","0.0","0.0","1.0"
"Alex Erickson","CIN","WR141","0.0","0.2","0.0","0.6","7.4","0.0","0.0","1.0"
"Taywan Taylor","CLE","WR142","0.0","0.1","0.0","0.4","7.1","0.0","0.0","1.0"
"Andre Roberts","BUF","WR143","0.0","0.3","0.0","0.5","6.4","0.0","0.0","0.9"
"Reggie Gilliam","BUF","RB97","1.0","2.3","0.0","0.5","2.9","0.1","0.0","0.8"
"Alex Armah","CAR","RB98","0.9","3.4","0.0","0.5","2.2","0.0","0.0","0.8"
"Javon Wims","CHI","WR144","0.0","0.0","0.0","0.6","6.8","0.0","0.0","0.8"
"Quez Watkins","PHI","WR145","0.0","0.3","0.0","0.4","5.9","0.0","0.0","0.8"
"Ross Dwelley","SF","TE85","0.0","0.0","0.0","1.0","7.9","0.0","0.0","0.8"
"Xavier Jones","LAR","RB99","0.0","2.1","0.0","0.3","3.0","0.0","0.0","0.8"
"Trevon Wesco","NYJ","TE86","0.0","0.0","0.0","0.7","7.2","0.0","0.0","0.7"
"J.P. Holtz","CHI","TE87","0.0","0.0","0.0","0.7","7.1","0.0","0.0","0.7"
"Gunner Olszewski","NE","WR146","0.0","0.1","0.0","0.3","5.1","0.0","0.0","0.7"
"Artavis Pierce","CHI","RB100","1.8","4.2","0.0","0.3","1.6","0.0","0.0","0.7"
"Dare Ogunbowale","JAC","RB101","0.9","0.5","0.0","1.0","5.5","0.0","0.0","0.7"
"DeAndre Washington","KC","RB102","2.3","4.9","0.0","0.8","2.6","0.0","0.0","0.7"
"Daniel Helm","SF","TE88","0.0","0.0","0.0","0.6","6.5","0.0","0.0","0.7"
"Charlie Woerner","SF","TE89","0.0","0.0","0.0","0.6","6.5","0.0","0.0","0.7"
"Diontae Spencer","DEN","WR147","0.0","1.1","0.0","0.2","4.1","0.0","0.0","0.6"
"DeAndre Carter","HOU","WR148","0.0","0.6","0.0","0.2","4.6","0.0","0.0","0.6"
"Brandon Zylstra","CAR","WR149","0.0","0.1","0.0","0.3","4.2","0.0","0.0","0.6"
"Anthony Sherman","KC","RB103","0.5","0.4","0.0","0.4","2.4","0.1","0.0","0.6"
"Ryan Nall","CHI","RB104","2.2","3.5","0.0","0.6","2.3","0.0","0.0","0.6"
"Ryquell Armstead","JAC","RB105","1.5","3.3","0.0","1.3","2.4","0.0","0.0","0.6"
"Keith Smith","ATL","RB106","0.3","1.3","0.0","0.6","2.8","0.0","0.0","0.5"
"Elijhaa Penny","NYG","RB107","1.9","3.5","0.0","0.4","1.1","0.0","0.0","0.5"
"Nsimba Webster","LAR","WR150","0.0","0.4","0.0","0.1","3.8","0.0","0.0","0.5"
"Eric Tomlinson","NYG","TE90","0.0","0.0","0.0","0.6","4.7","0.0","0.0","0.5"
"Matthew Slater","NE","WR151","0.0","0.3","0.0","0.1","3.8","0.0","0.0","0.5"
"Trent Sherfield","ARI","WR152","0.0","0.1","0.0","0.1","3.7","0.0","0.0","0.4"
"Jaydon Mickens","TB","WR153","0.0","0.4","0.0","0.1","3.2","0.0","0.0","0.4"
"Taiwan Jones","BUF","RB108","0.4","1.0","0.0","0.2","2.4","0.0","0.0","0.4"
"Jason Moore","LAC","WR154","0.0","0.0","0.0","0.1","3.2","0.0","0.0","0.4"
"Andy Janovich","CLE","RB109","0.0","0.1","0.0","0.4","2.5","0.0","0.0","0.4"
"Khari Blasingame","TEN","RB110","0.1","0.2","0.0","0.3","2.1","0.0","0.0","0.3"
"Bruce Miller","JAC","TE91","0.0","0.2","0.0","0.3","2.2","0.0","0.0","0.3"
"Gabe Nabers","LAC","TE92","0.3","1.9","0.0","0.1","1.0","0.0","0.0","0.3"
"Deon Yelder","KC","TE93","0.0","0.0","0.0","0.3","2.9","0.0","0.0","0.3"
"Pharoh Cooper","CAR","WR155","0.0","0.5","0.0","0.0","1.8","0.0","0.0","0.3"
"Cullen Gillaspia","HOU","RB111","0.0","0.0","0.0","0.2","1.6","0.0","0.0","0.3"
"Michael Burton","NO","RB112","0.6","1.0","0.0","0.2","0.9","0.0","0.0","0.2"
"Senorise Perry","TEN","RB113","0.6","2.1","0.0","0.0","0.0","0.0","0.0","0.2"
"Nick Bellore","SEA","LB1","0.0","0.0","0.0","0.2","1.5","0.0","0.0","0.2"
"John Lovett","GB","QB2","0.2","0.6","0.0","0.2","0.7","0.0","0.0","0.2"
"Derek Watt","PIT","RB114","0.0","0.4","0.0","0.2","0.4","0.0","0.0","0.1"
"Buddy Howell","HOU","RB115","0.3","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
""
""