"Player","Team","FG","FGA","XPT","FPTS"
"Harrison Butker","KC","1.9","2.1","2.8","8.5"
"Wil Lutz","NO","1.7","1.9","3.2","8.3"
"Younghoe Koo","ATL","1.8","2.1","2.7","8.1"
"Stephen Gostkowski","TEN","1.8","2.1","2.5","7.9"
"Michael Badgley","LAC","1.8","2.2","2.5","7.9"
"Ryan Succop","TB","1.7","2.1","2.7","7.8"
"Zane Gonzalez","ARI","1.7","2.0","2.6","7.7"
"Mason Crosby","GB","1.5","1.7","3.2","7.6"
"Daniel Carlson","LV","1.8","2.1","2.3","7.6"
"Tyler Bass","BUF","1.6","2.0","2.7","7.6"
"Randy Bullock","CIN","1.8","2.1","2.1","7.5"
"Joey Slye","CAR","1.8","2.1","2.2","7.5"
"Ka'imi Fairbairn","HOU","1.6","1.9","2.7","7.5"
"Chris Boswell","PIT","1.6","1.8","2.7","7.4"
"Matt Prater","DET","1.5","1.8","2.7","7.3"
"Jake Elliott","PHI","1.7","2.0","2.2","7.3"
"Graham Gano","NYG","1.8","2.1","1.9","7.3"
"Greg Zuerlein","DAL","1.7","2.0","2.3","7.3"
"Nick Folk","NE","1.7","2.0","2.2","7.2"
"Jason Myers","SEA","1.4","1.6","3.1","7.2"
"Dustin Hopkins","WAS","1.6","2.0","2.0","6.9"
"Cody Parkey","CLE","1.5","1.7","2.5","6.9"
"Robbie Gould","SF","1.6","1.8","2.0","6.9"
"Jonathan Brown","JAC","1.7","1.9","1.7","6.7"
"Sam Sloman","LAR","1.5","1.7","2.3","6.7"
"Cairo Santos","CHI","1.6","2.0","1.7","6.5"
"Brandon McManus","DEN","1.6","1.7","1.8","6.5"
"Sam Ficken","NYJ","1.6","1.9","1.5","6.3"
""
""